isogroup47480_c0_g2	K13525
isogroup5359_c0_g1	K18467
isogroup78099_c1_g2	K25093
isogroup73700_c0_g1	K10638
isogroup67230_c2_g1	K02998
isogroup78122_c0_g1	K19511
isogroup76654_c1_g1	K02920
isogroup63021_c2_g1	K06233
isogroup119663_c0_g1	K07023
isogroup77496_c1_g1	K18464
isogroup72592_c7_g6	K12829
isogroup77950_c1_g4	K09500
isogroup71972_c0_g2	K01267
isogroup50884_c0_g1	K18584
isogroup67118_c6_g3	K12896
isogroup72552_c5_g1	K24200
isogroup66748_c0_g1	K04082
isogroup72443_c5_g1	K02942
isogroup75557_c0_g4	K04456
isogroup78116_c0_g1	K05658
isogroup65684_c1_g1	K03263
isogroup16796_c0_g1	K11262
isogroup4732_c0_g1	K02212
isogroup59457_c0_g2	K03257
isogroup75792_c1_g2	K24317
isogroup64564_c1_g3	K04437
isogroup66339_c1_g1	K00615
isogroup76593_c0_g2	K20632
isogroup75138_c0_g1	K09582
isogroup70357_c5_g1	K07375
isogroup74083_c1_g2	K08860
isogroup78972_c6_g1	K02976
isogroup43556_c0_g1	K09497
isogroup71968_c0_g1	K00767
isogroup71933_c1_g1	K04393
isogroup71666_c0_g1	K05687
isogroup69675_c4_g2	K02183
isogroup90927_c0_g1	K12373
isogroup68871_c2_g1	K24943
isogroup73017_c4_g1	K16910
isogroup74259_c0_g1	K17820
isogroup10243_c0_g1	K07953
isogroup28163_c0_g1	K04600
isogroup70352_c2_g1	K15717
isogroup74297_c0_g1	K08770
isogroup68143_c2_g1	K02873
isogroup57360_c1_g1	K23380
isogroup68448_c1_g2	K00522
isogroup65641_c0_g1	K15013
isogroup73750_c0_g2	K11997
isogroup66527_c0_g1	K01557
isogroup74910_c2_g1	K23435
isogroup75247_c0_g1	K12736
isogroup73630_c3_g1	K21398
isogroup59873_c0_g1	K00463
isogroup24195_c0_g1	K12897
isogroup76957_c3_g1	K02898
isogroup78248_c0_g2	K05673
isogroup74273_c8_g1	K03881
isogroup75927_c2_g1	K12822
isogroup68851_c2_g3	K00232
isogroup124898_c0_g1	K04539
isogroup81191_c0_g1	K24229
isogroup68791_c1_g8	K02147
isogroup59326_c0_g2	K14006
isogroup75326_c0_g1	K19938
isogroup72885_c0_g1	K21771
isogroup66326_c0_g3	K00254
isogroup72190_c0_g1	K00273
isogroup66768_c1_g1	K04078
isogroup14549_c0_g1	K15292
isogroup61181_c0_g1	K04962
isogroup64477_c0_g1	K03768
isogroup46433_c0_g1	K23966
isogroup46207_c0_g1	K10359
isogroup107410_c0_g1	K08843
isogroup69260_c0_g2	K02155
isogroup67187_c0_g3	K16506
isogroup70075_c0_g2	K17307
isogroup76927_c1_g1	K16312
isogroup53169_c0_g1	K23909
isogroup70122_c2_g3	K04615
isogroup44322_c0_g1	K00020
isogroup30883_c0_g1	K08654
isogroup74004_c0_g2	K05863
isogroup73228_c0_g7	K12614
isogroup95815_c0_g1	K20822
isogroup64131_c0_g1	K06233
isogroup69881_c3_g1	K06689
isogroup74206_c5_g3	K13199
isogroup18312_c0_g1	K11826
isogroup67518_c0_g1	K00626
isogroup74868_c6_g1	K20102
isogroup69700_c3_g1	K18529
isogroup66941_c12_g1	K05605
isogroup71062_c2_g2	K22017
isogroup99836_c0_g1	K19673
isogroup69084_c0_g1	K05863
isogroup65297_c0_g1	K10577
isogroup78023_c0_g1	K24943
isogroup50108_c0_g1	K04043
isogroup63448_c0_g1	K02958
isogroup75723_c1_g1	K24048
isogroup67529_c1_g1	K03234
isogroup19000_c0_g1	K14209
isogroup70134_c0_g1	K13912
isogroup48854_c0_g3	K16469
isogroup79454_c12_g3	K22017
isogroup65613_c0_g1	K12259
isogroup40405_c0_g1	K15263
isogroup57833_c0_g1	K08059
isogroup71708_c1_g1	K23404
isogroup73022_c1_g1	K09533
isogroup70761_c12_g1	K15078
isogroup66577_c0_g4	K22754
isogroup74247_c1_g1	K02835
isogroup51980_c0_g1	K20164
isogroup64076_c0_g1	K19867
isogroup73680_c0_g1	K08803
isogroup107492_c0_g1	K03841
isogroup57894_c0_g1	K08525
isogroup66460_c0_g1	K12035
isogroup76584_c1_g1	K00627
isogroup75982_c0_g1	K09103
isogroup78480_c0_g2	K06277
isogroup96953_c0_g1	K01897
isogroup74337_c2_g2	K21594
isogroup54505_c0_g1	K03010
isogroup78028_c0_g5	K24404
isogroup88695_c0_g1	K17732
isogroup26830_c0_g2	K04600
isogroup76514_c3_g1	K09494
isogroup67994_c8_g1	K12494
isogroup75571_c0_g3	K18283
isogroup72963_c1_g2	K10802
isogroup76077_c2_g6	K22641
isogroup73720_c0_g2	K23551
isogroup71741_c5_g2	K13700
isogroup54554_c0_g1	K01196
isogroup42493_c0_g1	K02879
isogroup76488_c4_g1	K01847
isogroup74586_c3_g2	K08656
isogroup121703_c0_g1	K17294
isogroup66650_c0_g1	K19770
isogroup100479_c0_g1	K03234
isogroup76759_c0_g1	K14685
isogroup4789_c0_g1	K14538
isogroup32757_c0_g1	K00252
isogroup52839_c0_g2	K17095
isogroup69915_c8_g1	K11876
isogroup46310_c0_g1	K10411
isogroup75737_c3_g4	K20858
isogroup58000_c0_g2	K21772
isogroup52398_c0_g1	K19672
isogroup61914_c0_g1	K04513
isogroup68249_c3_g2	K00560
isogroup58853_c0_g2	K08056
isogroup69462_c0_g2	K01711
isogroup67110_c0_g1	K22904
isogroup74894_c1_g1	K19525
isogroup67903_c0_g1	K00699
isogroup19639_c0_g1	K03038
isogroup78922_c11_g1	K02872
isogroup59211_c0_g1	K22415
isogroup64773_c0_g1	K09498
isogroup72168_c0_g4	K12621
isogroup69894_c1_g2	K01867
isogroup77930_c0_g2	K00922
isogroup71504_c1_g3	K16197
isogroup79222_c12_g1	K03462
isogroup73417_c1_g2	K20287
isogroup69909_c2_g1	K01092
isogroup55800_c0_g3	K03062
isogroup78559_c0_g1	K10888
isogroup30755_c0_g1	K00472
isogroup67428_c2_g6	K18050
isogroup23853_c0_g1	K19756
isogroup64640_c0_g1	K03009
isogroup98532_c0_g1	K07759
isogroup59056_c0_g1	K03935
isogroup68643_c0_g1	K09203
isogroup75732_c1_g1	K01482
isogroup76125_c1_g1	K22614
isogroup68952_c0_g1	K15622
isogroup2658_c0_g1	K01528
isogroup77197_c0_g1	K09479
isogroup115079_c0_g1	K23691
isogroup50129_c0_g1	K17266
isogroup75867_c2_g2	K02209
isogroup55422_c0_g1	K18617
isogroup77428_c4_g1	K05692
isogroup74807_c0_g1	K24627
isogroup75696_c0_g1	K08816
isogroup64493_c0_g1	K14443
isogroup75759_c2_g1	K10862
isogroup79143_c0_g1	K04437
isogroup67892_c1_g2	K06115
isogroup76364_c0_g2	K09659
isogroup73399_c4_g1	K08874
isogroup73741_c2_g1	K13348
isogroup96753_c0_g1	K06110
isogroup73090_c0_g1	K11153
isogroup36282_c0_g2	K12604
isogroup62107_c0_g3	K10352
isogroup75734_c0_g1	K05633
isogroup71449_c0_g1	K14411
isogroup66823_c0_g1	K03954
isogroup106388_c0_g1	K11338
isogroup65106_c1_g1	K15040
isogroup23823_c0_g1	K05641
isogroup76026_c0_g1	K05948
isogroup77993_c5_g2	K02374
isogroup76861_c0_g1	K01132
isogroup74009_c7_g2	K04453
isogroup89701_c0_g1	K00079
isogroup66781_c0_g1	K15161
isogroup70987_c0_g2	K23424
isogroup72800_c8_g3	K23922
isogroup70325_c3_g1	K09848
isogroup68929_c1_g2	K17266
isogroup73875_c0_g1	K05695
isogroup63711_c0_g1	K05643
isogroup57346_c0_g1	K18399
isogroup78989_c16_g4	K02983
isogroup75350_c4_g1	K18032
isogroup72393_c0_g1	K07048
isogroup73540_c9_g1	K00327
isogroup60795_c0_g1	K03178
isogroup5597_c0_g1	K02374
isogroup65143_c0_g1	K06835
isogroup69042_c4_g1	K03462
isogroup75801_c2_g1	K19178
isogroup50115_c0_g1	K02948
isogroup60192_c0_g1	K12197
isogroup78744_c2_g1	K23939
isogroup29825_c0_g1	K11308
isogroup73067_c1_g4	K02925
isogroup67975_c2_g1	K09584
isogroup76910_c0_g1	K12734
isogroup67975_c0_g2	K09580
isogroup54432_c0_g3	K14539
isogroup70660_c0_g1	K03021
isogroup60463_c0_g1	K16750
isogroup71372_c0_g1	K11143
isogroup71079_c1_g2	K00567
isogroup27453_c0_g1	K01800
isogroup77577_c0_g3	K10645
isogroup76376_c1_g1	K01892
isogroup47846_c0_g1	K24842
isogroup70468_c2_g1	K04382
isogroup76649_c1_g1	K08105
isogroup70601_c0_g1	K05991
isogroup61042_c0_g7	K17751
isogroup73518_c0_g1	K23049
isogroup76047_c0_g6	K14832
isogroup68934_c1_g4	K14301
isogroup78585_c2_g1	K17478
isogroup63144_c0_g1	K22255
isogroup73722_c4_g1	K20216
isogroup65505_c0_g1	K06689
isogroup46159_c0_g1	K05756
isogroup12905_c0_g1	K00627
isogroup73162_c0_g4	K22017
isogroup63709_c0_g1	K09848
isogroup113314_c0_g1	K11165
isogroup73168_c0_g1	K17908
isogroup64411_c0_g2	K05762
isogroup56026_c0_g1	K17255
isogroup74914_c0_g1	K00569
isogroup67567_c0_g1	K00306
isogroup108982_c0_g1	K01134
isogroup74072_c2_g1	K24838
isogroup71072_c3_g2	K05692
isogroup71291_c4_g1	K09370
isogroup49901_c0_g1	K02728
isogroup1695_c0_g1	K22943
isogroup75772_c1_g1	K22614
isogroup76070_c0_g2	K24637
isogroup71611_c2_g1	K04420
isogroup71763_c2_g1	K12812
isogroup56922_c0_g1	K04571
isogroup70260_c0_g1	K08735
isogroup79404_c8_g1	K09848
isogroup49601_c0_g1	K04728
isogroup77213_c0_g1	K01194
isogroup70005_c0_g1	K12164
isogroup65557_c0_g1	K12613
isogroup62777_c0_g1	K07435
isogroup81216_c0_g1	K04437
isogroup72075_c1_g3	K03174
isogroup70511_c0_g1	K05607
isogroup105541_c0_g1	K08272
isogroup72967_c0_g3	K10976
isogroup54889_c0_g1	K20175
isogroup67730_c0_g1	K02138
isogroup76610_c4_g2	K22390
isogroup10124_c0_g1	K20177
isogroup50994_c0_g1	K13907
isogroup77136_c2_g2	K23489
isogroup96167_c0_g1	K02889
isogroup69706_c1_g2	K06069
isogroup78192_c4_g1	K15156
isogroup73007_c1_g1	K07910
isogroup119705_c0_g1	K22827
isogroup40588_c0_g1	K12046
isogroup70103_c0_g1	K15605
isogroup70777_c3_g7	K02974
isogroup67168_c6_g1	K02930
isogroup57141_c0_g2	K10396
isogroup54199_c0_g1	K09502
isogroup74342_c3_g1	K15498
isogroup78206_c1_g1	K17341
isogroup70357_c5_g2	K07375
isogroup78546_c0_g1	K08455
isogroup75555_c3_g4	K22614
isogroup45031_c0_g1	K02885
isogroup70284_c4_g1	K04508
isogroup78972_c7_g1	K01183
isogroup70605_c2_g2	K02991
isogroup67831_c0_g1	K14021
isogroup67203_c2_g3	K02947
isogroup58139_c0_g3	K00698
isogroup3011_c0_g1	K06238
isogroup76098_c0_g1	K16911
isogroup73888_c0_g2	K08057
isogroup72571_c3_g2	K08467
isogroup105466_c0_g1	K01360
isogroup74322_c0_g1	K08858
isogroup44920_c0_g1	K07935
isogroup96672_c0_g1	K01053
isogroup75491_c0_g3	K22073
isogroup75265_c0_g2	K17929
isogroup69952_c1_g4	K07912
isogroup76558_c0_g1	K12599
isogroup63688_c0_g2	K06943
isogroup67047_c0_g1	K10277
isogroup74313_c2_g1	K00857
isogroup68158_c4_g4	K02132
isogroup51072_c0_g1	K02146
isogroup110051_c0_g1	K13912
isogroup63984_c0_g2	K00415
isogroup72510_c0_g1	K16302
isogroup39540_c0_g1	K24228
isogroup70820_c0_g1	K16743
isogroup56040_c0_g1	K25165
isogroup116645_c0_g1	K00911
isogroup77455_c0_g2	K19526
isogroup76046_c0_g1	K16507
isogroup79273_c2_g1	K17751
isogroup79438_c3_g1	K08803
isogroup73961_c1_g2	K22614
isogroup72571_c3_g4	K08467
isogroup69327_c6_g1	K18211
isogroup53185_c0_g3	K10640
isogroup57733_c0_g1	K11594
isogroup71727_c1_g1	K06568
isogroup66990_c3_g6	K02998
isogroup74553_c1_g1	K24758
isogroup72796_c0_g1	K14778
isogroup79398_c1_g2	K08803
isogroup70002_c1_g8	K14638
isogroup78944_c5_g1	K06237
isogroup68852_c0_g1	K15128
isogroup112342_c0_g1	K20031
isogroup76178_c3_g2	K02127
isogroup11128_c0_g1	K16540
isogroup77537_c0_g2	K24032
isogroup71758_c0_g1	K08272
isogroup42864_c0_g1	K03671
isogroup17484_c0_g1	K20164
isogroup98586_c0_g1	K11967
isogroup75898_c2_g2	K10645
isogroup77013_c0_g1	K11594
isogroup69368_c1_g1	K01074
isogroup72511_c1_g1	K08874
isogroup68576_c0_g3	K19757
isogroup72231_c1_g2	K01336
isogroup63955_c0_g3	K00164
isogroup78374_c1_g2	K11262
isogroup61826_c0_g1	K01866
isogroup68967_c6_g2	K03233
isogroup78817_c2_g4	K10408
isogroup56507_c0_g1	K12897
isogroup69073_c5_g3	K19202
isogroup75066_c0_g2	K05294
isogroup75065_c1_g1	K20190
isogroup68249_c3_g1	K00560
isogroup47588_c0_g1	K14085
isogroup73125_c7_g1	K03248
isogroup74948_c4_g1	K11866
isogroup73319_c0_g1	K07767
isogroup72146_c2_g1	K09594
isogroup75980_c3_g1	K06176
isogroup72827_c7_g1	K23691
isogroup74188_c3_g1	K13806
isogroup78012_c5_g1	K19410
isogroup76287_c0_g1	K05635
isogroup69302_c0_g3	K01365
isogroup69581_c0_g1	K10884
isogroup77403_c0_g1	K20296
isogroup69132_c3_g1	K03257
isogroup65068_c0_g2	K06974
isogroup40692_c0_g1	K09533
isogroup78200_c0_g2	K04615
isogroup65828_c0_g2	K22754
isogroup79378_c0_g1	K19525
isogroup78341_c0_g3	K18529
isogroup73934_c3_g1	K15446
isogroup97747_c0_g1	K06093
isogroup76127_c1_g1	K09200
isogroup73032_c1_g1	K01027
isogroup72194_c0_g1	K11446
isogroup69922_c0_g2	K01870
isogroup76198_c0_g2	K21415
isogroup76418_c1_g1	K15009
isogroup70474_c0_g1	K19907
isogroup73918_c0_g1	K08803
isogroup14250_c0_g1	K20636
isogroup79170_c7_g1	K00541
isogroup77984_c0_g1	K00106
isogroup73979_c3_g3	K10408
isogroup68040_c0_g1	K20185
isogroup69524_c0_g1	K05115
isogroup69524_c3_g1	K05108
isogroup74452_c0_g1	K02350
isogroup65682_c4_g2	K09560
isogroup80243_c0_g1	K19027
isogroup69373_c0_g2	K00451
isogroup78596_c1_g2	K02105
isogroup44124_c0_g1	K17597
isogroup67892_c1_g4	K06115
isogroup24215_c0_g1	K03515
isogroup69981_c0_g1	K22858
isogroup78150_c0_g1	K00106
isogroup37589_c0_g1	K23490
isogroup77154_c1_g2	K11089
isogroup35629_c0_g1	K09377
isogroup70243_c0_g1	K01102
isogroup107144_c0_g1	K00922
isogroup69100_c0_g1	K13163
isogroup81717_c0_g1	K09493
isogroup73094_c8_g3	K03357
isogroup71113_c2_g1	K24348
isogroup70579_c0_g2	K12035
isogroup115926_c0_g1	K17302
isogroup65489_c0_g1	K14999
isogroup78145_c0_g7	K03174
isogroup74781_c1_g2	K15537
isogroup73007_c2_g1	K11667
isogroup70468_c3_g2	K15423
isogroup78194_c0_g1	K08874
isogroup76990_c0_g2	K12896
isogroup75108_c13_g1	K02267
isogroup68222_c1_g1	K13539
isogroup68221_c0_g1	K15837
isogroup69787_c2_g7	K10899
isogroup72895_c0_g2	K19636
isogroup92765_c0_g1	K12259
isogroup57825_c0_g1	K03392
isogroup77867_c0_g2	K24226
isogroup53386_c0_g1	K02678
isogroup77730_c0_g1	K06095
isogroup74093_c1_g3	K05849
isogroup67968_c7_g2	K08852
isogroup59316_c0_g1	K16944
isogroup70949_c0_g1	K07526
isogroup74179_c0_g1	K07890
isogroup69190_c8_g1	K04437
isogroup77401_c2_g2	K08770
isogroup11830_c0_g1	K13811
isogroup63716_c1_g1	K02880
isogroup77159_c2_g1	K05619
isogroup49841_c0_g1	K09584
isogroup65851_c0_g2	K17778
isogroup77174_c1_g2	K08823
isogroup22020_c0_g1	K13210
isogroup73011_c0_g2	K00161
isogroup72183_c0_g4	K19511
isogroup75744_c0_g1	K16732
isogroup98331_c0_g1	K17800
isogroup77714_c1_g3	K24469
isogroup67397_c6_g1	K12350
isogroup100594_c0_g1	K02932
isogroup79630_c0_g1	K02265
isogroup66262_c0_g4	K17341
isogroup45922_c0_g1	K00383
isogroup63113_c0_g2	K09435
isogroup60670_c0_g1	K11839
isogroup72889_c1_g1	K16760
isogroup35482_c0_g1	K12823
isogroup44585_c0_g1	K14638
isogroup68451_c4_g1	K00541
isogroup29028_c0_g1	K07441
isogroup67266_c1_g4	K13219
isogroup58349_c0_g1	K14293
isogroup45761_c0_g1	K02995
isogroup62216_c0_g1	K12035
isogroup62546_c0_g1	K02989
isogroup76312_c1_g2	K22207
isogroup23614_c0_g1	K16766
isogroup21416_c0_g1	K10876
isogroup76297_c1_g9	K09493
isogroup67877_c0_g4	K13126
isogroup78742_c1_g1	K22754
isogroup68284_c12_g1	K13912
isogroup28704_c0_g1	K05619
isogroup74302_c0_g1	K19703
isogroup73746_c1_g1	K02969
isogroup74677_c0_g1	K24937
isogroup77834_c6_g3	K12035
isogroup78477_c1_g1	K08653
isogroup67224_c3_g4	K02938
isogroup5933_c0_g1	K02267
isogroup68811_c6_g2	K24734
isogroup50244_c0_g1	K19511
isogroup67419_c0_g3	K07249
isogroup78458_c0_g3	K10951
isogroup63159_c0_g2	K24932
isogroup76797_c2_g2	K16725
isogroup71266_c6_g4	K02431
isogroup66130_c0_g1	K03138
isogroup67799_c3_g3	K03016
isogroup69766_c1_g4	K20656
isogroup64273_c1_g4	K01183
isogroup112290_c0_g1	K02137
isogroup77692_c4_g2	K20183
isogroup73647_c0_g1	K11323
isogroup70941_c3_g2	K22614
isogroup77881_c0_g1	K16586
isogroup74017_c1_g4	K10104
isogroup71193_c2_g8	K04513
isogroup71049_c0_g3	K02889
isogroup75616_c0_g5	K08738
isogroup70978_c4_g1	K02894
isogroup69868_c0_g1	K03232
isogroup119913_c0_g1	K18201
isogroup77865_c0_g1	K02898
isogroup73635_c0_g1	K08010
isogroup95132_c0_g1	K17542
isogroup58918_c0_g1	K04443
isogroup63010_c0_g1	K14861
isogroup66528_c0_g1	K18441
isogroup73361_c3_g1	K08967
isogroup41253_c0_g2	K13443
isogroup64805_c0_g1	K01363
isogroup74252_c2_g1	K00939
isogroup72271_c0_g1	K10349
isogroup49744_c0_g2	K08852
isogroup25988_c0_g1	K19538
isogroup70269_c0_g1	K22941
isogroup37982_c0_g1	K02932
isogroup76236_c1_g4	K06670
isogroup54426_c0_g1	K01408
isogroup74010_c4_g2	K01681
isogroup26760_c0_g1	K01076
isogroup68224_c2_g2	K07375
isogroup81871_c0_g1	K17307
isogroup95204_c0_g1	K02375
isogroup105617_c0_g1	K05627
isogroup88932_c0_g1	K08574
isogroup55271_c0_g2	K13203
isogroup67160_c0_g2	K06233
isogroup76034_c0_g1	K09848
isogroup68012_c7_g5	K02985
isogroup77666_c0_g2	K12815
isogroup65855_c0_g5	K10382
isogroup72111_c0_g2	K07903
isogroup70982_c1_g1	K08964
isogroup77299_c0_g2	K13912
isogroup78419_c1_g2	K15013
isogroup56191_c0_g1	K09510
isogroup76693_c0_g1	K24186
isogroup65633_c0_g3	K05656
isogroup73446_c1_g1	K00953
isogroup52132_c0_g2	K07997
isogroup66936_c7_g1	K10567
isogroup70874_c0_g1	K18404
isogroup69397_c1_g5	K01539
isogroup67242_c2_g2	K07903
isogroup122748_c0_g1	K10406
isogroup78888_c1_g1	K02541
isogroup72027_c1_g5	K12191
isogroup77082_c5_g1	K09397
isogroup64273_c1_g11	K01183
isogroup73941_c5_g1	K13963
isogroup78750_c1_g1	K01196
isogroup77135_c0_g4	K25004
isogroup87181_c0_g1	K02145
isogroup56292_c0_g1	K02915
isogroup77207_c0_g1	K12812
isogroup38546_c0_g1	K01176
isogroup71410_c5_g6	K07375
isogroup71234_c0_g2	K12865
isogroup67595_c6_g6	K02958
isogroup77023_c2_g1	K09657
isogroup47417_c0_g1	K06096
isogroup66323_c1_g5	K22754
isogroup63139_c0_g1	K04515
isogroup68258_c1_g1	K08467
isogroup115522_c0_g1	K22827
isogroup65150_c2_g1	K05728
isogroup62675_c1_g1	K21595
isogroup62035_c0_g1	K08106
isogroup68526_c1_g1	K22754
isogroup81821_c0_g1	K03238
isogroup74681_c1_g1	K05641
isogroup40842_c0_g1	K20314
isogroup75416_c3_g1	K11136
isogroup74217_c5_g1	K23437
isogroup71839_c1_g2	K04615
isogroup74890_c0_g1	K17919
isogroup75611_c1_g1	K08574
isogroup64070_c0_g1	K11188
isogroup73687_c6_g1	K12185
isogroup65621_c0_g1	K14638
isogroup54058_c0_g1	K17286
isogroup70799_c5_g1	K10397
isogroup71089_c0_g1	K09848
isogroup4616_c0_g1	K01488
isogroup76099_c1_g3	K01965
isogroup68537_c0_g1	K17425
isogroup62803_c0_g1	K02893
isogroup63410_c0_g1	K20287
isogroup74648_c0_g1	K04403
isogroup70465_c0_g1	K16763
isogroup73040_c1_g4	K11450
isogroup61063_c1_g5	K20478
isogroup102151_c0_g1	K09173
isogroup39322_c0_g1	K09492
isogroup72812_c1_g1	K12190
isogroup114231_c0_g1	K20279
isogroup24917_c0_g1	K11128
isogroup78990_c2_g1	K19636
isogroup62873_c0_g1	K03940
isogroup69463_c0_g1	K00721
isogroup13592_c0_g1	K03246
isogroup69325_c1_g2	K02973
isogroup78111_c4_g1	K04249
isogroup70131_c4_g1	K10380
isogroup77044_c1_g4	K11538
isogroup75288_c1_g1	K08367
isogroup69662_c2_g3	K13907
isogroup75329_c0_g1	K07752
isogroup68218_c0_g1	K02357
isogroup64457_c0_g1	K24222
isogroup71563_c0_g1	K03857
isogroup78910_c0_g3	K00249
isogroup74907_c0_g6	K10956
isogroup70615_c1_g1	K14774
isogroup69474_c2_g1	K20347
isogroup54732_c0_g1	K03032
isogroup61916_c0_g1	K02134
isogroup67464_c0_g1	K13912
isogroup60518_c0_g1	K22559
isogroup113291_c0_g1	K10359
isogroup74197_c1_g1	K14621
isogroup21905_c0_g1	K08807
isogroup70159_c0_g1	K12462
isogroup40759_c0_g1	K13109
isogroup76804_c0_g2	K11997
isogroup57932_c0_g1	K04368
isogroup57036_c0_g1	K09355
isogroup66182_c2_g1	K25165
isogroup74286_c0_g2	K00972
isogroup67976_c0_g1	K04346
isogroup70668_c2_g1	K17479
isogroup74967_c2_g2	K11166
isogroup59247_c0_g1	K15717
isogroup58791_c0_g1	K07200
isogroup68270_c0_g1	K24822
isogroup76898_c4_g1	K06085
isogroup119318_c0_g1	K08467
isogroup75494_c0_g2	K22017
isogroup80801_c0_g1	K00920
isogroup31116_c0_g1	K07515
isogroup79453_c7_g2	K11997
isogroup60960_c0_g3	K09500
isogroup68746_c0_g1	K11802
isogroup10514_c0_g1	K12607
isogroup73267_c0_g1	K11138
isogroup68273_c0_g1	K24687
isogroup68402_c1_g1	K04527
isogroup77378_c0_g2	K13138
isogroup69905_c1_g3	K07838
isogroup66659_c20_g1	K01265
isogroup48402_c0_g1	K06270
isogroup77380_c0_g1	K09048
isogroup77825_c0_g1	K19984
isogroup56095_c0_g1	K04393
isogroup75844_c0_g1	K13868
isogroup63700_c0_g2	K08762
isogroup71015_c1_g3	K04371
isogroup70008_c2_g4	K04382
isogroup76290_c0_g1	K02992
isogroup100503_c0_g1	K00542
isogroup76103_c1_g1	K22614
isogroup68903_c0_g1	K10380
isogroup42001_c0_g1	K15789
isogroup59847_c0_g7	K15728
isogroup120659_c0_g1	K18061
isogroup79209_c2_g2	K20473
isogroup79125_c5_g1	K06237
isogroup57461_c0_g1	K03174
isogroup60391_c0_g1	K01596
isogroup71291_c2_g1	K21440
isogroup65541_c0_g6	K15223
isogroup78266_c0_g1	K13912
isogroup82672_c0_g1	K02084
isogroup77830_c0_g1	K18405
isogroup76650_c0_g1	K24630
isogroup61600_c0_g1	K14411
isogroup74873_c0_g2	K24047
isogroup22764_c0_g1	K11730
isogroup69184_c0_g1	K13171
isogroup77125_c0_g1	K10591
isogroup124519_c0_g1	K17339
isogroup14537_c0_g1	K10457
isogroup74810_c3_g1	K01079
isogroup74187_c1_g3	K01081
isogroup72840_c7_g2	K09203
isogroup69628_c2_g1	K23325
isogroup79625_c0_g1	K12880
isogroup77190_c1_g1	K24842
isogroup72039_c0_g1	K15449
isogroup70775_c1_g1	K15503
isogroup70699_c0_g1	K09531
