isogroup1909_c0_g3	K20818
isogroup21772_c0_g1	K03248
isogroup127340_c0_g1	K04675
isogroup4394_c0_g2	K19476
isogroup121336_c0_g1	K05309
isogroup29716_c0_g1	K04424
isogroup119656_c0_g1	K08106
isogroup14119_c2_g1	K12641
isogroup14831_c0_g1	K17421
isogroup42567_c0_g1	K12822
isogroup18083_c0_g3	K08171
isogroup58968_c0_g1	K10356
isogroup43602_c0_g2	K07903
isogroup35093_c0_g2	K12833
isogroup47351_c0_g2	K03015
isogroup26585_c0_g1	K23424
isogroup127700_c0_g1	K19511
isogroup51868_c0_g3	K24822
isogroup21776_c0_g1	K12035
isogroup93233_c0_g1	K08863
isogroup57379_c0_g1	K17570
isogroup39314_c0_g3	K13754
isogroup54763_c0_g1	K22764
isogroup13398_c0_g1	K18468
isogroup4229_c1_g2	K10591
isogroup2294_c0_g1	K10380
isogroup167234_c0_g1	K06270
isogroup16688_c0_g1	K16832
isogroup3214_c0_g1	K08057
isogroup36116_c0_g1	K00760
isogroup10350_c1_g1	K20125
isogroup6225_c0_g2	K04372
isogroup174445_c0_g1	K11415
isogroup157464_c0_g1	K01132
isogroup172543_c0_g1	K24272
isogroup1547_c1_g1	K11270
isogroup35922_c0_g1	K05858
isogroup12147_c0_g1	K11094
isogroup138151_c0_g1	K13145
isogroup88347_c0_g1	K02981
isogroup69821_c0_g1	K17920
isogroup48221_c0_g2	K05643
isogroup14386_c0_g1	K14213
isogroup6273_c0_g1	K08049
isogroup612_c0_g1	K15174
isogroup12541_c0_g1	K14381
isogroup24542_c0_g1	K04345
isogroup5819_c0_g2	K08211
isogroup15193_c0_g2	K09848
isogroup31385_c1_g1	K05673
isogroup571_c0_g1	K00809
isogroup5365_c0_g2	K10380
isogroup1642_c0_g2	K09496
isogroup25306_c0_g1	K00856
isogroup1764_c0_g1	K02264
isogroup4660_c0_g1	K21595
isogroup4394_c0_g1	K19476
isogroup40961_c0_g1	K01874
isogroup13707_c0_g2	K05695
isogroup124358_c0_g1	K02984
isogroup11487_c0_g1	K14946
isogroup164157_c0_g1	K13513
isogroup128895_c0_g1	K01969
isogroup46745_c0_g1	K10408
isogroup155277_c0_g1	K09662
isogroup8403_c0_g1	K12035
isogroup154396_c0_g1	K22564
isogroup14764_c0_g2	K12180
isogroup80961_c0_g1	K15425
isogroup86455_c0_g1	K10359
isogroup6621_c1_g1	K03351
isogroup65825_c0_g1	K04398
isogroup75363_c0_g1	K09500
isogroup66629_c0_g1	K12200
isogroup6687_c0_g1	K23740
isogroup15269_c0_g1	K20314
isogroup157226_c0_g1	K12301
isogroup1399_c0_g3	K02973
isogroup1390_c0_g1	K07877
isogroup114687_c0_g1	K05661
isogroup20052_c0_g1	K08568
isogroup3184_c0_g1	K19369
isogroup71853_c0_g1	K04437
isogroup59353_c0_g1	K22754
isogroup99395_c0_g1	K19525
isogroup38535_c0_g1	K13176
isogroup89803_c0_g1	K01847
isogroup19495_c0_g2	K08139
isogroup17423_c0_g1	K01251
isogroup149109_c0_g1	K10712
isogroup8519_c0_g1	K24048
isogroup18855_c0_g1	K12624
isogroup170018_c0_g1	K09569
isogroup8007_c0_g1	K11827
isogroup13749_c0_g1	K19499
isogroup6308_c0_g4	K04615
isogroup5257_c0_g1	K19947
isogroup12910_c0_g1	K17509
isogroup1844_c0_g1	K14411
isogroup29137_c0_g1	K12948
isogroup96759_c0_g1	K01265
isogroup8986_c0_g1	K10365
isogroup106001_c0_g1	K08803
isogroup3971_c0_g1	K13353
isogroup27205_c0_g1	K12385
isogroup18445_c0_g1	K01966
isogroup19804_c0_g2	K13126
isogroup55543_c0_g1	K09091
isogroup126820_c0_g1	K06233
isogroup47810_c0_g1	K20369
isogroup14919_c0_g1	K22125
isogroup49024_c0_g1	K17086
isogroup1251_c0_g1	K08009
isogroup63073_c0_g1	K20178
isogroup36608_c0_g1	K05124
isogroup19975_c0_g1	K17398
isogroup115478_c0_g1	K15013
isogroup169575_c0_g1	K05305
isogroup49006_c0_g1	K05643
isogroup65355_c0_g1	K08801
isogroup24719_c0_g1	K12191
isogroup75553_c0_g1	K23708
isogroup121927_c0_g1	K20408
isogroup132492_c0_g1	K22560
isogroup54317_c0_g1	K20520
isogroup26370_c0_g1	K20796
isogroup24118_c0_g1	K10661
isogroup15197_c0_g2	K04615
isogroup41082_c0_g1	K04456
isogroup68397_c0_g1	K00857
isogroup106447_c0_g1	K12820
isogroup47467_c0_g1	K01514
isogroup6930_c0_g2	K24013
isogroup20198_c0_g1	K17943
isogroup77933_c0_g1	K19882
isogroup41262_c0_g2	K17491
isogroup2657_c0_g1	K03038
isogroup5356_c0_g1	K05681
isogroup100261_c0_g1	K24124
isogroup56182_c0_g1	K13237
isogroup175872_c0_g1	K05129
isogroup12310_c0_g1	K11279
isogroup6715_c0_g3	K12035
isogroup26433_c0_g1	K19986
isogroup2422_c0_g2	K08525
isogroup40714_c0_g1	K04615
isogroup139401_c0_g1	K00522
isogroup97513_c0_g1	K07151
isogroup21403_c0_g1	K04615
isogroup25865_c0_g1	K23909
isogroup65842_c0_g1	K01301
isogroup3100_c0_g1	K11204
isogroup25843_c0_g1	K14025
isogroup19331_c0_g1	K17751
isogroup4471_c0_g2	K09613
isogroup2796_c0_g1	K08835
isogroup165663_c0_g1	K15759
isogroup124333_c0_g1	K09360
isogroup116529_c0_g1	K00140
isogroup70761_c0_g1	K12877
isogroup18132_c0_g1	K03012
isogroup103948_c0_g1	K17785
isogroup33885_c0_g1	K17503
isogroup57929_c0_g2	K17233
isogroup79204_c0_g1	K12392
isogroup12754_c0_g2	K16833
isogroup4981_c0_g1	K11275
isogroup23276_c0_g2	K17262
isogroup67846_c0_g1	K17783
isogroup1433_c0_g2	K03007
isogroup2560_c0_g1	K12871
isogroup164029_c0_g1	K00699
isogroup71301_c0_g1	K24527
isogroup31642_c0_g1	K13912
isogroup30033_c0_g2	K10104
isogroup69972_c0_g1	K22380
isogroup39360_c0_g1	K25004
isogroup97475_c0_g1	K20352
isogroup27585_c1_g1	K14966
isogroup141049_c0_g1	K12856
isogroup37682_c0_g1	K04399
isogroup17148_c0_g1	K23194
isogroup69309_c0_g1	K00558
isogroup3418_c0_g1	K10408
isogroup6770_c0_g1	K05755
isogroup168169_c0_g1	K17499
isogroup26494_c0_g1	K18408
isogroup12517_c0_g1	K12460
isogroup66273_c0_g1	K06110
isogroup16367_c0_g1	K02973
isogroup976_c0_g2	K17500
isogroup63247_c0_g1	K20643
isogroup9918_c1_g1	K03506
isogroup12637_c0_g1	K24734
isogroup24433_c0_g1	K10863
isogroup29595_c2_g2	K13143
isogroup17845_c0_g1	K03035
isogroup14242_c0_g1	K13513
isogroup694_c0_g2	K15168
isogroup48825_c0_g1	K06704
isogroup4700_c0_g1	K06240
isogroup17380_c0_g1	K02730
isogroup6954_c0_g1	K24254
isogroup107475_c0_g1	K12026
isogroup3042_c0_g5	K02930
isogroup18153_c0_g3	K00417
isogroup87127_c0_g1	K20069
isogroup1913_c0_g1	K17592
isogroup17475_c0_g1	K03028
isogroup35473_c0_g1	K04634
isogroup152351_c0_g1	K00827
isogroup20204_c0_g2	K04392
isogroup11009_c0_g1	K22499
isogroup158884_c0_g1	K01115
isogroup112575_c0_g1	K00819
isogroup5938_c0_g1	K12035
isogroup828_c0_g2	K06115
isogroup2821_c0_g1	K03174
isogroup35233_c0_g1	K14769
isogroup21179_c0_g2	K10352
isogroup39291_c0_g1	K17929
isogroup28443_c0_g1	K01365
isogroup58958_c0_g1	K12491
isogroup114296_c0_g1	K17769
isogroup3277_c0_g1	K06632
isogroup21650_c0_g1	K20349
isogroup4392_c0_g1	K23569
isogroup41144_c0_g1	K14429
isogroup40430_c0_g1	K04368
isogroup104676_c0_g1	K22910
isogroup47047_c0_g1	K04634
isogroup164956_c0_g1	K00863
isogroup40137_c0_g1	K03083
isogroup6747_c0_g1	K20649
isogroup31766_c0_g1	K04441
isogroup17687_c0_g1	K01647
isogroup157737_c0_g1	K12229
isogroup17236_c0_g3	K15378
isogroup4343_c0_g1	K05357
isogroup21864_c1_g1	K10747
isogroup17474_c0_g1	K09487
isogroup37765_c0_g1	K12647
isogroup85798_c0_g1	K23554
isogroup12588_c0_g1	K16726
isogroup5875_c0_g3	K24031
isogroup1304_c0_g1	K12035
isogroup7361_c0_g1	K00232
isogroup26072_c0_g1	K00966
isogroup13750_c0_g1	K05756
isogroup40746_c0_g1	K08105
isogroup16599_c0_g1	K02880
isogroup2380_c0_g3	K10523
isogroup55199_c0_g2	K01858
isogroup105530_c0_g1	K12392
isogroup121643_c0_g1	K13783
isogroup78857_c0_g1	K00411
isogroup2719_c1_g1	K23368
isogroup45002_c0_g1	K20371
isogroup4645_c0_g2	K04437
isogroup77715_c0_g1	K24837
isogroup16170_c0_g1	K03107
isogroup31437_c0_g1	K22125
isogroup25888_c0_g1	K20636
isogroup165810_c0_g1	K12617
isogroup19694_c0_g1	K00416
isogroup89611_c0_g1	K08874
isogroup24645_c0_g1	K18628
isogroup126447_c0_g1	K15261
isogroup112445_c0_g1	K00771
isogroup127303_c0_g1	K18756
isogroup37606_c0_g1	K21863
isogroup40319_c0_g1	K00227
isogroup3049_c1_g1	K08770
isogroup37145_c0_g1	K16750
isogroup12155_c0_g1	K11204
isogroup49329_c0_g1	K16365
isogroup1392_c0_g2	K22942
isogroup41857_c0_g1	K12844
isogroup1463_c0_g1	K00058
isogroup10309_c2_g1	K04646
isogroup50804_c0_g1	K01134
isogroup25392_c0_g1	K10352
isogroup25368_c0_g1	K18025
isogroup61783_c0_g1	K04437
isogroup10468_c0_g3	K01539
isogroup27398_c0_g1	K14016
isogroup19307_c0_g1	K10610
isogroup2390_c0_g1	K11729
isogroup7112_c0_g1	K02880
isogroup41106_c0_g1	K01365
isogroup178177_c0_g1	K10359
isogroup12010_c0_g1	K10380
isogroup13317_c0_g1	K07874
isogroup158780_c0_g1	K23820
isogroup157_c0_g1	K10727
isogroup59121_c0_g1	K14379
isogroup154692_c0_g1	K13089
isogroup17750_c0_g1	K04430
isogroup92405_c0_g1	K04678
isogroup1969_c0_g1	K09518
isogroup23860_c0_g1	K05695
isogroup66979_c0_g1	K04365
isogroup36261_c0_g1	K09699
isogroup94578_c0_g1	K12818
isogroup90897_c0_g1	K24888
isogroup24922_c0_g1	K23281
isogroup5473_c0_g1	K01875
isogroup50858_c0_g1	K10799
isogroup44028_c0_g1	K14020
isogroup37765_c0_g2	K12647
isogroup2342_c0_g1	K24990
isogroup12523_c0_g1	K11731
isogroup53458_c0_g1	K21847
isogroup22366_c0_g1	K18644
isogroup27541_c0_g1	K14404
isogroup1722_c0_g1	K13912
isogroup37636_c0_g1	K14844
isogroup53489_c0_g1	K07583
isogroup500_c0_g1	K13110
isogroup55204_c0_g3	K10591
isogroup148728_c0_g1	K23341
isogroup40824_c0_g1	K12197
isogroup29139_c0_g1	K17341
isogroup2636_c0_g2	K02602
isogroup90044_c0_g1	K13207
isogroup23074_c1_g1	K02889
isogroup66119_c0_g1	K20120
isogroup4359_c0_g1	K17255
isogroup36336_c0_g1	K16801
isogroup12196_c0_g2	K03174
isogroup24469_c0_g1	K22390
isogroup44194_c0_g1	K00798
isogroup107996_c0_g1	K00734
isogroup16335_c0_g3	K16732
isogroup22813_c0_g2	K03671
isogroup82399_c0_g1	K13577
isogroup23972_c0_g1	K01369
isogroup66301_c0_g1	K13337
isogroup2256_c0_g4	K08735
isogroup18955_c0_g1	K09363
isogroup4016_c0_g1	K02951
isogroup25418_c0_g1	K19511
isogroup1599_c0_g1	K12168
isogroup6604_c1_g1	K04378
isogroup11135_c0_g2	K24943
isogroup119804_c0_g1	K13303
isogroup21864_c0_g2	K10747
isogroup13299_c0_g1	K00726
isogroup115992_c0_g1	K24943
isogroup20678_c0_g1	K05695
isogroup9220_c0_g1	K06662
isogroup3735_c0_g1	K23820
isogroup92291_c0_g1	K23958
isogroup6101_c1_g1	K08734
isogroup35586_c0_g2	K11844
isogroup21428_c0_g1	K03248
isogroup17186_c0_g2	K09494
isogroup44480_c0_g1	K18405
isogroup4934_c0_g1	K01876
isogroup55429_c0_g1	K12231
isogroup7842_c0_g1	K07562
isogroup12791_c0_g1	K08889
isogroup75174_c0_g1	K11986
isogroup1005_c0_g2	K03955
isogroup3810_c0_g1	K16749
isogroup82215_c0_g2	K10457
isogroup50469_c0_g1	K24086
isogroup77883_c0_g1	K09522
isogroup44367_c0_g1	K19535
isogroup15808_c0_g1	K11974
isogroup20152_c0_g2	K02935
isogroup9156_c0_g1	K06704
isogroup16549_c0_g2	K23339
isogroup29884_c0_g1	K10315
isogroup23805_c0_g1	K22754
isogroup7485_c0_g1	K03131
isogroup2049_c0_g3	K22470
isogroup17873_c1_g1	K10356
isogroup27385_c0_g1	K10406
isogroup11645_c0_g1	K13091
isogroup5116_c0_g5	K18932
isogroup128670_c0_g1	K09516
isogroup142804_c0_g1	K11416
isogroup20142_c0_g1	K17943
isogroup25626_c1_g3	K15865
isogroup5926_c0_g1	K11651
isogroup106745_c0_g1	K12172
isogroup8911_c0_g1	K10765
isogroup54224_c1_g4	K00734
isogroup130389_c0_g1	K18245
isogroup76316_c0_g1	K19677
isogroup36420_c0_g1	K14685
isogroup646_c1_g1	K22503
isogroup4851_c0_g1	K16452
isogroup847_c0_g2	K04437
isogroup71092_c0_g1	K25081
isogroup54555_c0_g1	K11967
isogroup4694_c0_g2	K02937
isogroup22322_c0_g2	K02993
isogroup25863_c0_g1	K12391
isogroup289_c0_g1	K04564
isogroup56436_c1_g1	K06270
isogroup38570_c0_g1	K10364
isogroup535_c0_g2	K06252
isogroup22905_c0_g1	K12398
isogroup6932_c0_g1	K20173
isogroup157735_c0_g1	K03137
isogroup18403_c0_g2	K22210
isogroup7098_c1_g5	K04382
isogroup1787_c1_g1	K02374
isogroup52179_c0_g3	K09495
isogroup6605_c0_g3	K02978
isogroup80552_c0_g1	K06233
isogroup5625_c0_g1	K12035
isogroup14019_c0_g1	K00933
isogroup8085_c0_g1	K19027
isogroup57423_c0_g1	K02946
isogroup14741_c0_g1	K11321
isogroup818_c0_g1	K20180
isogroup312_c0_g1	K21919
isogroup38489_c0_g1	K03783
isogroup35718_c0_g2	K20346
isogroup56951_c0_g1	K18730
isogroup26374_c0_g1	K07964
isogroup2340_c0_g1	K00106
isogroup23353_c0_g1	K02946
isogroup39644_c0_g1	K11984
isogroup55728_c0_g1	K10645
isogroup70713_c0_g1	K19269
isogroup55782_c0_g1	K13719
isogroup26923_c1_g3	K02105
isogroup25671_c0_g1	K07375
isogroup59702_c0_g1	K12190
isogroup41613_c0_g2	K00207
isogroup111705_c0_g1	K10352
isogroup3630_c0_g1	K10446
isogroup37143_c0_g2	K09848
isogroup6533_c0_g1	K23224
isogroup82766_c0_g4	K00280
isogroup76370_c0_g1	K24759
isogroup695_c0_g4	K01369
isogroup20276_c0_g2	K17686
isogroup89594_c0_g1	K06063
isogroup140482_c0_g1	K12479
isogroup38544_c0_g1	K07375
isogroup42826_c0_g1	K01469
isogroup74431_c0_g1	K10749
isogroup8908_c0_g1	K17086
isogroup137905_c0_g1	K10687
isogroup117202_c0_g1	K00207
isogroup68882_c0_g1	K08799
isogroup130635_c0_g1	K04556
isogroup97522_c0_g1	K14816
isogroup31680_c0_g1	K01365
isogroup97001_c0_g2	K05769
isogroup100055_c0_g1	K13907
isogroup10733_c0_g1	K17732
isogroup74117_c1_g1	K03097
isogroup5290_c0_g1	K10523
isogroup51964_c0_g1	K22754
isogroup21692_c0_g1	K12175
isogroup74681_c0_g2	K08272
isogroup8709_c0_g1	K12896
isogroup102217_c0_g1	K12310
isogroup60819_c0_g1	K24524
isogroup47855_c0_g1	K09091
isogroup1996_c0_g1	K18025
isogroup3224_c1_g1	K14590
isogroup96219_c0_g1	K02580
isogroup18950_c0_g2	K07827
isogroup13763_c0_g1	K14319
isogroup86823_c0_g1	K04715
isogroup32692_c0_g1	K23088
isogroup35869_c0_g1	K03687
isogroup105665_c0_g1	K06972
isogroup20072_c0_g1	K00500
isogroup7072_c0_g1	K12460
isogroup4951_c0_g1	K15153
isogroup38481_c0_g1	K19365
isogroup2658_c0_g1	K03099
isogroup17034_c0_g1	K04442
isogroup67931_c0_g1	K01870
isogroup9813_c0_g1	K02154
isogroup3343_c0_g1	K24683
isogroup88521_c1_g1	K00910
isogroup10612_c0_g1	K10730
isogroup6323_c0_g1	K02208
isogroup27214_c0_g1	K16733
isogroup1076_c0_g3	K01197
isogroup34135_c0_g1	K01115
isogroup6417_c1_g1	K17356
isogroup2353_c0_g1	K10457
isogroup19683_c0_g1	K10251
isogroup25048_c0_g4	K10523
isogroup19297_c0_g1	K01464
isogroup9033_c0_g2	K24195
isogroup127624_c0_g1	K11974
isogroup43881_c0_g1	K20358
isogroup55531_c0_g1	K23424
isogroup338_c0_g1	K20372
isogroup11164_c0_g1	K22804
isogroup14663_c0_g1	K12818
isogroup29253_c0_g1	K14708
isogroup32818_c0_g1	K00688
isogroup55104_c0_g2	K08106
isogroup100894_c0_g1	K17781
isogroup26033_c0_g1	K08657
isogroup45809_c0_g1	K20182
isogroup100833_c0_g1	K11273
isogroup1600_c0_g1	K00344
isogroup30332_c1_g1	K08811
isogroup138391_c0_g1	K23966
isogroup3814_c0_g4	K17562
isogroup163430_c0_g1	K03033
isogroup6514_c0_g1	K02979
isogroup138057_c0_g1	K06619
isogroup953_c0_g1	K11086
isogroup57871_c0_g1	K15692
isogroup30729_c0_g1	K12479
isogroup8098_c0_g1	K09022
isogroup45032_c0_g1	K07527
isogroup2333_c0_g1	K16669
isogroup3456_c0_g2	K22556
isogroup10211_c0_g1	K06532
isogroup9701_c0_g1	K17751
isogroup95413_c0_g1	K10442
isogroup24093_c0_g1	K12587
isogroup131712_c0_g1	K14565
isogroup54308_c0_g1	K01065
isogroup39395_c0_g1	K03131
isogroup9570_c0_g3	K05117
isogroup6407_c0_g2	K23879
isogroup9558_c0_g2	K24926
isogroup26325_c0_g2	K05812
isogroup26800_c0_g1	K03232
isogroup3843_c0_g1	K23610
isogroup8974_c0_g1	K23341
isogroup15417_c2_g1	K09330
isogroup16381_c0_g1	K08054
isogroup309_c0_g1	K19674
isogroup8099_c0_g1	K08834
isogroup36271_c0_g1	K22614
isogroup56376_c0_g1	K00717
isogroup5772_c0_g2	K04430
isogroup4121_c0_g1	K00649
isogroup6710_c0_g2	K08681
isogroup16669_c2_g1	K16288
isogroup19628_c0_g3	K23901
isogroup4111_c0_g1	K13499
isogroup31963_c0_g1	K08336
isogroup572_c0_g1	K13948
isogroup63634_c0_g1	K08139
isogroup70309_c0_g2	K09533
isogroup15672_c0_g1	K05749
isogroup154151_c0_g1	K23460
isogroup4122_c0_g1	K00876
isogroup5630_c0_g1	K22125
isogroup105_c0_g1	K05631
isogroup101908_c0_g1	K02649
isogroup148_c1_g1	K00079
isogroup32553_c0_g1	K17817
isogroup157956_c0_g1	K06236
isogroup7930_c0_g1	K07834
isogroup89230_c0_g1	K21410
isogroup21375_c1_g1	K08288
isogroup54109_c0_g1	K10258
isogroup172011_c0_g1	K23029
isogroup46834_c0_g1	K04370
isogroup16812_c0_g1	K03014
isogroup15630_c0_g1	K15047
isogroup2290_c0_g1	K14407
isogroup4936_c0_g1	K08341
isogroup766_c0_g1	K22943
isogroup23519_c0_g1	K22614
isogroup7614_c1_g1	K10158
isogroup103892_c0_g1	K14798
isogroup4584_c0_g1	K04364
isogroup96313_c0_g1	K22563
isogroup41293_c0_g1	K00682
isogroup7584_c1_g2	K07151
isogroup39193_c0_g1	K12900
isogroup86348_c0_g3	K10087
isogroup103103_c0_g1	K12663
isogroup11824_c0_g1	K24889
isogroup1574_c0_g1	K24970
isogroup164396_c0_g1	K08836
isogroup60723_c0_g1	K11650
isogroup30839_c0_g1	K08844
isogroup447_c0_g1	K12835
isogroup689_c0_g1	K10776
isogroup63632_c0_g1	K12489
isogroup42026_c0_g1	K04392
isogroup138300_c0_g1	K02732
isogroup7307_c0_g1	K19374
isogroup68812_c0_g1	K07847
isogroup59960_c0_g1	K03032
isogroup6086_c0_g1	K20098
isogroup6744_c1_g2	K11292
isogroup131883_c0_g1	K09699
isogroup3967_c0_g1	K24469
isogroup56952_c0_g1	K17512
isogroup124496_c0_g1	K01681
isogroup124416_c0_g1	K11840
isogroup3779_c0_g1	K16601
isogroup20716_c0_g1	K23285
isogroup52789_c0_g1	K13444
isogroup61693_c0_g1	K23282
isogroup8658_c0_g1	K11276
isogroup64031_c0_g1	K16744
isogroup47859_c0_g1	K07611
isogroup102961_c0_g1	K00671
isogroup22856_c0_g1	K03252
