isogroup66386_c0_g1	 Ragulator complex protein LAMTOR5
isogroup2489_c0_g2	CENPP CENP-A-nucleosome distal (CAD) centromere subunit, CENP-P
isogroup2417_c0_g1	 CD27 receptor binding
isogroup2482_c0_g2	SGCA response to muscle inactivity involved in regulation of muscle adaptation
isogroup2448_c0_g3	 negative regulation of insulin-like growth factor receptor signaling pathway
isogroup2478_c0_g1	CycD Protein kinase binding. It is involved in the biological process described with regulation of cyclin-dependent protein serine threonine kinase activity
isogroup78025_c0_g1	MAN2C1 Mannosidase alpha class 2C member 1
isogroup78022_c0_g1	LARGE xylosyltransferase activity
isogroup19083_c0_g1	MAP3K1 JUN kinase kinase kinase activity
isogroup27642_c0_g1	DCAF4 DDB1 and
isogroup11571_c0_g2	 Electron transfer DM13
isogroup66520_c0_g1	FAM173B positive regulation of sensory perception of pain
isogroup34591_c0_g1	BCCIP May promote cell cycle arrest by enhancing the inhibition of CDK2 activity by CDKN1A. May be required for repair of DNA damage by homologous recombination in conjunction with BRCA2. May not be involved in non-homologous end joining (NHEJ)
isogroup89790_c0_g1	GLTSCR2 regulation of protein K63-linked deubiquitination
isogroup12935_c0_g1	EPDR1 cell-matrix adhesion
isogroup12910_c0_g1	PDPR Pyruvate Dehydrogenase Phosphatase Regulatory subunit
isogroup95154_c0_g1	TLL1 bone morphogenetic protein
isogroup20635_c0_g1	PDPR [pyruvate dehydrogenase (lipoamide)] phosphatase activity
isogroup45119_c0_g1	Vg Lipoprotein amino terminal region
isogroup32614_c0_g1	TMEM43 Transmembrane protein 43
isogroup36336_c0_g1	CEP19 Centrosomal protein of 19 kDa
isogroup85007_c0_g2	UGP UTP--glucose-1-phosphate uridylyltransferase
isogroup35884_c0_g1	 Domain present in fly proteins (CG14681, CG12492, CG6217), worm H06A10.1 and Arabidopsis thaliana MBG8.9.
isogroup89108_c0_g1	 Gamma-glutamyltranspeptidase 2-like
isogroup89197_c0_g1	MANEAL Glycosyl hydrolase family 99
isogroup47454_c0_g2	 Glycosyl transferase family 8
isogroup58666_c0_g1	 motor activity
isogroup16996_c0_g1	DNAJC17 homolog subfamily C member
isogroup16971_c0_g2	SCAMP4 Secretory carrier membrane protein 4
isogroup41316_c0_g2	DESI2 Lys63-specific deubiquitinase activity
isogroup12184_c0_g1	FUT8 Catalyzes the addition of fucose in alpha 1-6 linkage to the first GlcNAc residue, next to the peptide chains in N-glycans
isogroup6305_c0_g2	C19orf66 UPF0515 protein C19orf66 homolog
isogroup33841_c0_g1	 zinc ion binding
isogroup56652_c0_g1	HHIPL1 Hhip-like
isogroup7731_c0_g1	ORC3 pre-replicative complex assembly involved in nuclear cell cycle DNA replication
isogroup7711_c0_g1	TIMM13 Tim10/DDP family zinc finger
isogroup17747_c0_g1	URAD OHCU decarboxylase
isogroup17721_c0_g1	SMIM14 Small integral membrane protein 14
isogroup17729_c0_g1	BACE1 amyloid-beta metabolic process
isogroup43752_c0_g1	 Domain of unknown function (DUF3538)
isogroup9295_c0_g1	NPLOC4 negative regulation of RIG-I signaling pathway
isogroup9274_c0_g2	TOP2B Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks
isogroup50613_c0_g1	TAF1B factor RNA polymerase I
isogroup13882_c0_g1	 Zinc-dependent metalloprotease
isogroup28973_c1_g1	C1orf74 UPF0739 protein C1orf74 homolog
isogroup70361_c0_g1	MFN2 parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization
isogroup6167_c0_g1	RPAP1 DNA-directed 5'-3' RNA polymerase activity
isogroup6179_c0_g5	 Tetratricopeptide repeat
isogroup6179_c0_g1	 Tetratricopeptide repeat
isogroup6120_c0_g1	 Centrosome and spindle
isogroup6136_c0_g2	PPRC1 nuclear receptor transcription coactivator activity
isogroup19630_c0_g1	CLN8 glutamate reuptake
isogroup37763_c0_g1	ARL14EPL ARL14 effector protein-like
isogroup37768_c0_g1	 aminophospholipid transmembrane transporter activity
isogroup12341_c0_g1	 tyrosinase
isogroup12341_c0_g2	 tyrosinase
isogroup1787_c3_g1	utp20 maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
isogroup1721_c0_g2	CENPI centromere complex assembly
isogroup1738_c0_g1	LYRM2 Belongs to the complex I LYR family
isogroup1752_c1_g1	IDUA iduronidase, alpha-L
isogroup10492_c0_g1	RPL39 structural constituent of ribosome
isogroup6287_c0_g3	FAR2 alcohol-forming fatty acyl-CoA reductase activity
isogroup6262_c0_g2	ARL14EP ADP-ribosylation factor-like 14 effector protein
isogroup9397_c1_g1	LGMN cysteine-type peptidase activity
isogroup9322_c0_g2	EIF2D eukaryotic translation initiation factor
isogroup29137_c0_g1	SPCS3 signal peptide processing
isogroup7439_c0_g2	FADD DEATH domain, found in proteins involved in cell death (apoptosis).
isogroup14061_c0_g3	C15orf41 Protein of unknown function TPD sequence-motif
isogroup14057_c0_g1	 Bladder cancer-associated
isogroup14016_c0_g1	 C1q domain
isogroup7571_c0_g1	SURF2 Surfeit 2
isogroup48494_c0_g1	 ADP-ribosylglycohydrolase
isogroup61660_c0_g1	 starch binding. It is involved in the biological process described with lipid metabolic process
isogroup29672_c3_g1	BRDT Bromodomain, testis-specific
isogroup29694_c0_g1	ANGEL2 Angel homolog
isogroup53857_c0_g1	TXNDC15 thioredoxin domain containing 15
isogroup15069_c0_g1	PLEKHD1 PH domain
isogroup15061_c0_g1	RWDD3 RWD domain containing 3
isogroup81487_c0_g1	POLR1C transcription by RNA polymerase I
isogroup80720_c0_g2	Vg DUF1943
isogroup29052_c0_g1	SQSTM1 protein localization to perinuclear region of cytoplasm
isogroup16695_c0_g1	RPL36 ribosomal protein
isogroup16682_c0_g3	FAM188B Family with sequence similarity 188, member B
isogroup16654_c0_g1	ZMYND12 Zinc finger MYND domain-containing protein 12
isogroup14912_c0_g3	 Collagen triple helix
isogroup59806_c0_g1	CLN5 positive regulation of GTP binding
isogroup2284_c0_g1	 Transmembrane amino acid transporter protein
isogroup2226_c0_g1	 Pyruvate formate lyase-like
isogroup2253_c0_g3	 Transferase activity, transferring glycosyl groups
isogroup2229_c0_g1	PTPRQ Phosphatidylinositol phosphatase PTPRQ
isogroup8983_c0_g1	SUV420H1 Suppressor of variegation 4-20 homolog 1 (Drosophila)
isogroup4244_c0_g1	 Lecithin retinol acyltransferase
isogroup35000_c0_g1	SURF4 Golgi organization
isogroup35024_c0_g2	RNH1 ribonuclease inhibitor activity
isogroup17157_c0_g1	TTC33 tetratricopeptide repeat
isogroup17163_c0_g1	FucT6 Catalyzes the addition of fucose in alpha 1-6 linkage to the first GlcNAc residue, next to the peptide chains in N-glycans
isogroup26503_c0_g3	C15orf41 Protein of unknown function TPD sequence-motif
isogroup8364_c0_g1	CYP46A1 Cytochrome P450, family
isogroup8397_c0_g1	ADPRHL2 poly(ADP-ribose) glycohydrolase activity
isogroup31822_c0_g1	LRIG1 Leucine-rich repeats and immunoglobulin-like domains
isogroup68468_c0_g1	 Tropomyosin
isogroup96945_c0_g1	AKAP10 anchor protein 10
isogroup47606_c0_g1	FUT8 glycoprotein 6-alpha-L-fucosyltransferase activity
isogroup45741_c0_g1	THTPA Thiamine triphosphatase
isogroup14560_c0_g1	 NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
isogroup14579_c0_g1	GYLTL1B xylosyltransferase activity
isogroup14568_c0_g2	PDZRN3 PDZ domain containing RING finger
isogroup6409_c0_g3	PCNP protein modification by small protein conjugation
isogroup6493_c0_g4	PRIMPOL DNA primase activity
isogroup6493_c0_g5	PRIMPOL DNA primase activity
isogroup6475_c0_g2	SMIM14 Small integral membrane protein
isogroup40690_c0_g1	Nacalpha NAC domain
isogroup40627_c0_g1	 ABC transporter
isogroup31154_c1_g1	Nacalpha NAC domain
isogroup97041_c0_g1	HHIPL2 Glucose / Sorbosone dehydrogenase
isogroup97086_c0_g1	 serine-type endopeptidase activity. It is involved in the biological process described with proteolysis
isogroup97050_c0_g1	POLA1 Polymerase (DNA directed), alpha 1
isogroup20496_c0_g1	TMEM258 Transmembrane protein 258
isogroup870_c0_g1	FAM83B Family with sequence similarity 83 member B
isogroup886_c0_g2	AEN Interferon-stimulated protein
isogroup822_c0_g1	ARL15 ADP-ribosylation factor-like
isogroup4337_c0_g1	NUDCD2 NudC domain containing 2
isogroup4317_c0_g2	 Ependymin-like
isogroup53416_c0_g1	 Domain present in fly proteins (CG14681, CG12492, CG6217), worm H06A10.1 and Arabidopsis thaliana MBG8.9.
isogroup53490_c0_g1	PFDN4 unfolded protein binding
isogroup64509_c0_g1	 Membrane dipeptidase (Peptidase family M19)
isogroup75829_c0_g2	LGMN Legumain
isogroup75375_c0_g1	 alpha/beta hydrolase fold
isogroup37516_c0_g1	MIF Macrophage migration inhibitory
isogroup14291_c0_g1	 Electron transfer DM13
isogroup14206_c0_g1	GPATCH3 negative regulation of RIG-I signaling pathway
isogroup14206_c0_g3	GPATCH3 negative regulation of RIG-I signaling pathway
isogroup40907_c0_g1	RRP9 U3 snoRNA binding
isogroup19708_c0_g1	IDE Belongs to the peptidase M16 family
isogroup55399_c0_g3	 Transposase IS4
isogroup82402_c0_g1	 Electron transfer DM13
isogroup38241_c0_g1	zer-1 regulation of ligase activity
isogroup99219_c0_g1	ITIH4 hyaluronan metabolic process
isogroup29499_c0_g1	 Aldehyde ferredoxin oxidoreductase, domains 2 & 3
isogroup2746_c0_g1	STPG2 Sperm-tail PG-rich repeat
isogroup2732_c0_g1	UOX Catalyzes the oxidation of uric acid to 5- hydroxyisourate, which is further processed to form (S)-allantoin
isogroup35782_c0_g1	MIEN1 Migration and invasion enhancer 1
isogroup3653_c0_g1	RSPH10B Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases.
isogroup3662_c0_g1	G2E3 ubiquitin-protein transferase activity
isogroup18122_c0_g1	 SART-1 family
isogroup80562_c0_g1	 establishment of planar polarity involved in neural tube closure
isogroup75226_c0_g1	RSG1 regulation of vesicle fusion
isogroup13394_c0_g1	GREB1L Growth regulation by estrogen in breast cancer-like
isogroup5001_c0_g1	NUDT19 NUDIX domain
isogroup5025_c0_g1	FSIP1 FSIP1 family
isogroup5083_c0_g2	ALKBH8 alkB, alkylation repair homolog 8 (E. coli)
isogroup5017_c0_g1	 It is involved in the biological process described with protein ubiquitination
isogroup56376_c0_g1	FucT6 Catalyzes the addition of fucose in alpha 1-6 linkage to the first GlcNAc residue, next to the peptide chains in N-glycans
isogroup43372_c0_g1	TMEM43 Transmembrane protein 43
isogroup18869_c0_g1	COL6A3 Collagen type VI alpha 3
isogroup30869_c0_g1	AGRN positive regulation of synaptic growth at neuromuscular junction
isogroup8732_c0_g1	CLN3 lysosomal lumen pH elevation
isogroup8777_c0_g1	MUS81 3'-flap endonuclease activity
isogroup71980_c0_g1	 Zgc 153169
isogroup56206_c0_g1	PACS1 ion channel binding
isogroup56254_c0_g1	 Ragulator complex protein LAMTOR5
isogroup91266_c0_g1	MESDC2 positive regulation of skeletal muscle acetylcholine-gated channel clustering
isogroup89230_c0_g1	FAM132A regulation of glucose import
isogroup30002_c0_g1	UOX Catalyzes the oxidation of uric acid to 5- hydroxyisourate, which is further processed to form (S)-allantoin
isogroup39727_c0_g1	NECAB1 calcium ion binding
isogroup39771_c0_g1	 transferase activity, transferring phosphorus-containing groups
isogroup21943_c0_g2	PLEKHD1 PH domain
isogroup3733_c0_g1	CD109 CD109 molecule
isogroup3739_c0_g1	PIGT Phosphatidylinositol glycan anchor biosynthesis class T
isogroup3771_c0_g1	ambra1 Activating molecule in BECN1-regulated autophagy protein
isogroup37388_c0_g1	ankh ANKH inorganic pyrophosphate transport regulator
isogroup37376_c0_g1	MRC1 carbohydrate binding
isogroup73816_c0_g1	UBXN1 K6-linked polyubiquitin modification-dependent protein binding
isogroup28202_c0_g1	ABHD14A Abhydrolase domain containing 14A
isogroup28202_c0_g2	ACY1 aminoacylase activity
isogroup28220_c0_g1	POLD2 DNA-directed DNA polymerase activity
isogroup42967_c0_g2	 Endonuclease/Exonuclease/phosphatase family
isogroup42954_c0_g2	 Catalytic LigB subunit of aromatic ring-opening dioxygenase
isogroup32852_c0_g1	STPG2 Sperm-tail PG-rich
isogroup32876_c0_g1	HEATR3 HEAT repeat-containing protein
isogroup35457_c0_g1	MTFP1 mitochondrial fission process
isogroup91016_c0_g1	 aminophospholipid transmembrane transporter activity
isogroup13405_c0_g1	ABHD14B hydrolase activity
isogroup13405_c0_g3	ABHD14B hydrolase activity
isogroup13436_c0_g4	TYR tyrosinase
isogroup13436_c0_g1	 tyrosinase
isogroup13436_c0_g3	TYR tyrosinase
isogroup3313_c0_g2	SDHAF1 Complex1_LYR-like
isogroup3339_c0_g1	LARGE glycosyltransferase-like protein
isogroup3373_c0_g1	NPHP1 positive regulation of bicellular tight junction assembly
isogroup3329_c0_g2	LAMA3 Laminin, alpha 3
isogroup3343_c0_g1	GIGYF1 PERQ amino acid-rich with GYF domain-containing protein
isogroup17522_c0_g4	POMK carbohydrate phosphorylation
isogroup59213_c0_g1	IP6K1 Inositol hexakisphosphate kinase 1
isogroup51803_c0_g2	 RNA binding domain
isogroup51817_c0_g1	FBXO18 DNA translocase activity
isogroup1921_c0_g1	CTSC cysteine-type peptidase activity
isogroup1985_c0_g1	C1orf27 Protein odr-4 homolog
isogroup1947_c1_g1	NPHP4 Nephronophthisis 4
isogroup1980_c0_g1	 CLN3 protein
isogroup1980_c0_g2	CLN3 CLN3 protein
isogroup16070_c0_g1	TSEN15 tRNA-intron endonuclease activity
isogroup39518_c0_g1	MINA Cupin superfamily protein
isogroup39576_c0_g1	PFDN4 unfolded protein binding
isogroup548_c0_g1	 tyrosinase
isogroup500_c1_g1	 Zinc finger, C3HC4 type (RING finger)
isogroup580_c0_g1	ASNS L-asparagine biosynthetic process
isogroup12288_c0_g1	ATP6V1G1 proton-exporting ATPase activity, phosphorylative mechanism
isogroup22849_c0_g1	 Zinc finger, C3HC4 type (RING finger)
isogroup22883_c0_g1	 Collagen triple helix
isogroup22882_c0_g1	BAG6 Large proline-rich protein BAG6
isogroup13787_c0_g1	let-2 C-terminal tandem repeated domain in type 4 procollagens
isogroup13130_c2_g1	 Alpha-2-macroglobulin-like
isogroup13144_c0_g1	 nuclear pore complex assembly
isogroup13133_c0_g1	CACHD1 calcium ion transport
isogroup13134_c0_g1	CDC45 mitotic DNA replication preinitiation complex assembly
isogroup39615_c0_g1	kay Developmentally regulated transcription factor AP-1 binds and recognizes the enhancer DNA sequence 5'-TGA CG TCA-3'. May play a role in the function or determination of a particular subset of cells in the developing embryo. It is able to carry out its function either independently of or in conjunction with Jra
isogroup43224_c0_g1	OXNAD1 oxidoreductase NAD-binding
isogroup60169_c0_g1	FAM132A regulation of glucose import
isogroup6544_c0_g1	TOE1 Target of EGR1, member 1 (nuclear)
isogroup6592_c0_g1	CEP89 cilium assembly
isogroup6554_c0_g1	NCF4 PB1 domain
isogroup6554_c0_g2	NCF4 factor 4
isogroup36623_c0_g1	SPCS3 Signal peptidase complex subunit 3
isogroup34464_c0_g1	BBS1 smoothened binding
isogroup51972_c0_g1	 Reverse transcriptase (RNA-dependent DNA polymerase)
isogroup51932_c0_g1	LACTB regulation of lipid metabolic process
isogroup3288_c0_g1	ZGRF1 zinc ion binding
isogroup3241_c2_g1	 Required for the first step in the synthesis of diphthamide, a post-translational modification of histidine which occurs in translation elongation factor 2
isogroup3241_c0_g1	 Required for the first step in the synthesis of diphthamide, a post-translational modification of histidine which occurs in translation elongation factor 2
isogroup3276_c0_g3	LARGE glycosyltransferase-like protein
isogroup3271_c0_g2	DSE chondroitin-glucuronate 5-epimerase activity
isogroup74835_c0_g1	 Methyltransferase-like protein
isogroup16558_c1_g1	 Domain of unknown function (DUF4500)
isogroup16552_c0_g1	 aminophospholipid transmembrane transporter activity
isogroup16548_c2_g1	NEURL4 Neuralized E3 ubiquitin protein ligase 4
isogroup5707_c0_g4	DONSON replication fork protection
isogroup5706_c1_g1	 Exostosin family
isogroup27575_c0_g1	 mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity
isogroup2058_c0_g1	FBXO18 response to intra-S DNA damage checkpoint signaling
isogroup2054_c0_g1	CLN6 Ceroid-lipofuscinosis neuronal
isogroup296_c0_g1	 Electron transfer DM13
isogroup260_c1_g1	blue NEUZ
isogroup22929_c0_g1	cle-1 Collagenase NC10 and Endostatin
isogroup22948_c0_g1	PCNP protein modification by small protein conjugation
isogroup18301_c0_g1	FANCC Fanconi anemia, complementation group C
isogroup18353_c1_g1	 Pfam:GVQW
isogroup69301_c0_g2	 Electron transfer DM13
isogroup27079_c0_g1	Gbp5 Guanylate-binding protein, N-terminal domain
isogroup72561_c0_g1	SUN2 Sad1 and UNC84 domain containing 2
isogroup49990_c0_g1	RRP12 Ribosomal RNA processing 12 homolog
isogroup32470_c0_g1	tomm7 TOM7 family
isogroup32487_c0_g1	urah hydroxyisourate hydrolase activity
isogroup18280_c0_g1	FAM166B Protein of unknown function (DUF2475)
isogroup18290_c0_g1	CCDC62 Huntingtin interacting protein 1 related a
isogroup23965_c0_g1	bic NAC domain
isogroup23972_c0_g1	LGMN cysteine-type peptidase activity
isogroup35539_c0_g1	 osteoclast fusion
isogroup11662_c0_g1	WDR73 cytoplasmic microtubule organization
isogroup8894_c2_g1	 Electron transfer DM13
isogroup79709_c0_g1	TMEM30B aminophospholipid transmembrane transporter activity
isogroup22420_c0_g1	SLC25A13 malate-aspartate shuttle
isogroup66129_c0_g1	C9orf85 Uncharacterized conserved protein (DUF2039)
isogroup31405_c0_g1	STXBP5L Syntaxin-binding protein 5-like isoform
isogroup18754_c0_g2	 Belongs to the peptidase S1 family
isogroup41288_c0_g1	 Electron transfer DM13
isogroup57114_c0_g1	 Electron transfer DM13
isogroup11459_c0_g1	 EGF domain
isogroup11419_c0_g2	ATP5S ATP synthase, H transporting, mitochondrial Fo complex, subunit s (factor B)
isogroup49354_c0_g1	SDAD1 SDA1 domain containing 1
isogroup4757_c1_g1	 Dcp1-like decapping family
isogroup90505_c0_g1	C19orf10 positive regulation of phosphatidylinositol 3-kinase signaling
isogroup90577_c0_g1	PIK3CB 1-phosphatidylinositol-4-phosphate 3-kinase activity
