k141_145339_5	chemotaxis, protein
k141_75156_8	Couples transcription and DNA repair by recognizing RNA polymerase (RNAP) stalled at DNA lesions. Mediates ATP-dependent release of RNAP and its truncated transcript from the DNA, and recruitment of nucleotide excision repair machinery to the damaged site
k141_75156_10	-
k141_75156_13	Catalyzes the reversible phosphorylation of S-methyl-5'- thioinosine (MTI) to hypoxanthine and 5-methylthioribose-1- phosphate. Involved in the breakdown of S-methyl-5'-thioadenosine (MTA), a major by-product of polyamine biosynthesis. Catabolism of (MTA) occurs via deamination to MTI and phosphorolysis to hypoxanthine
k141_75156_16	Transposase IS200 like
k141_75156_19	overlaps another CDS with the same product name
k141_75156_20	Bacterial extracellular solute-binding protein
k141_366144_1	Mediates coordination of peptidoglycan synthesis and outer membrane constriction during cell division
k141_148677_3	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
k141_148677_4	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
k141_2565_2	COG1960 Acyl-CoA dehydrogenases
k141_366595_2	Heavy metal translocating P-type atpase
k141_2589_6	COG1793 ATP-dependent DNA ligase
k141_2920_9	-
k141_76200_1	PFAM Bacterial extracellular solute-binding proteins, family 5 Middle
k141_76200_2	PFAM Binding-protein-dependent transport
k141_76200_3	PFAM binding-protein-dependent transport systems inner membrane component
k141_367471_3	Transcriptional regulatory protein, C terminal
k141_367471_4	Histidine kinase
k141_3035_2	Catalyzes the synthesis of GMP from XMP
k141_3035_3	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth
k141_3035_4	-
k141_3035_5	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides
k141_3035_6	peptidase
k141_3035_8	Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA)
k141_3035_9	ACT domain
k141_3035_10	alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen
k141_3035_11	SMART Nucleotide binding protein, PINc
k141_3035_14	Transposase
k141_3035_22	Transcriptional regulatory protein, C terminal
k141_3035_31	epimerase dehydratase
k141_3035_37	polysaccharide export protein
k141_3035_43	Belongs to the prokaryotic molybdopterin-containing oxidoreductase family
k141_3035_44	PFAM 4Fe-4S ferredoxin iron-sulfur binding domain protein
k141_3035_45	Polysulphide reductase, NrfD
k141_3035_49	Acyl-ACP thioesterase
k141_3035_52	Converts o-succinylbenzoyl-CoA (OSB-CoA) to 1,4- dihydroxy-2-naphthoyl-CoA (DHNA-CoA)
k141_3035_54	Catalyzes the conversion of chorismate to isochorismate
k141_3035_58	Zinc ribbon domain
k141_76553_1	Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE
k141_439756_2	Sulfatase-modifying factor enzyme 1
k141_294638_1	extracellular solute-binding protein
k141_294638_2	inner membrane component
k141_294638_3	The glycine cleavage system catalyzes the degradation of glycine
k141_294638_4	The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein
k141_294638_5	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor
k141_294638_6	Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides
k141_294638_7	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor
k141_294638_8	Recycling of diacylglycerol produced during the turnover of membrane phospholipid
k141_294638_9	Protein of unknown function, DUF255
k141_294638_10	Putative DNA-binding domain
k141_294638_11	Belongs to the UPF0276 family
k141_294638_13	dna-binding protein
k141_294638_14	Protein of unknown function (DUF3047)
k141_294638_17	Polyketide cyclase / dehydrase and lipid transport
k141_294638_18	TIGRFAM A G-specific adenine glycosylase
k141_294638_19	Could be a mediator in iron transactions between iron acquisition and iron-requiring processes, such as synthesis and or repair of Fe-S clusters in biosynthetic enzymes
k141_294638_21	Belongs to the 'phage' integrase family
k141_294638_23	Phage integrase, N-terminal
k141_294638_24	Calcineurin-like phosphoesterase superfamily domain
k141_294638_26	Pfam:HipA_N
k141_294638_27	DNA methylase
k141_294638_28	restriction modification system DNA specificity
k141_294638_31	Subunit R is required for both nuclease and ATPase activities, but not for modification
k141_3680_2	Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA
k141_3680_3	found to be peripherally associated with the inner membrane in Escherichia coli
k141_76928_1	Domain of unknown function (DUF4143)
k141_76928_2	Sulfur carrier protein involved in sulfur trafficking in the cell. Part of a sulfur-relay system required for 2-thiolation during synthesis of 2-thiouridine of the modified wobble base 5- methylaminomethyl-2-thiouridine (mnm(5)s(2)U) in tRNA. Interacts with IscS and stimulates its cysteine desulfurase activity. Accepts an activated sulfur from IscS, which is then transferred to TusD, and thus determines the direction of sulfur flow from IscS to 2-thiouridine formation. Also appears to be involved in sulfur transfer for the biosynthesis of molybdopterin
k141_76928_3	ATP-NAD kinase
k141_76928_4	COG1226 Kef-type K transport systems
k141_76928_5	COG0457 FOG TPR repeat
k141_76928_7	Rieske [2Fe-2S] domain
k141_150724_2	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome
k141_150724_3	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit
k141_150724_4	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
k141_150724_5	Ribosomal protein L17
k141_440393_2	Recombinase
k141_440393_6	Bacterial extracellular solute-binding protein, family 7
k141_440510_3	PIN domain
k141_440510_4	Belongs to the 'phage' integrase family
k141_440510_5	Belongs to the 'phage' integrase family
k141_440510_8	Belongs to the 'phage' integrase family
k141_77391_2	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids
k141_77391_3	reductase
k141_77391_4	Carrier of the growing fatty acid chain in fatty acid biosynthesis
k141_77391_6	Functions as a peptidoglycan terminase that cleaves nascent peptidoglycan strands endolytically to terminate their elongation
k141_77391_7	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis
k141_4307_1	Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins. Aids folding of multispanning membrane proteins
k141_4307_2	Could be involved in insertion of integral membrane proteins into the membrane
k141_4307_3	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme
k141_151392_3	COG0790 FOG TPR repeat, SEL1 subfamily
k141_151392_5	Plasmid replication region DNA-binding N-term
k141_151392_6	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate
k141_151392_7	helix_turn_helix, Lux Regulon
k141_151392_8	Histidine kinase
k141_151392_9	PFAM ErfK YbiS YcfS YnhG family protein
k141_151392_13	Domain in cystathionine beta-synthase and other proteins.
k141_151392_19	FeS assembly SUF system protein SufT
k141_151392_23	Permuted papain-like amidase enzyme, YaeF/YiiX, C92 family
k141_151392_24	PFAM Radical SAM
k141_151392_27	Phage derived protein Gp49-like (DUF891)
k141_151392_35	exonuclease recJ
k141_151392_40	Transcriptional regulator
k141_151495_3	OsmC-like protein
k141_151495_4	COG0784 FOG CheY-like receiver
k141_151495_5	Pentapeptide repeats (8 copies)
k141_151495_7	FlhB HrpN YscU SpaS Family
k141_151495_8	COG1192 ATPases involved in chromosome partitioning
k141_151539_6	Glycine betaine
k141_369371_1	DEAD-box RNA helicase involved in RNA degradation. Has RNA-dependent ATPase activity and unwinds double-stranded RNA
k141_369434_1	-
k141_369434_2	PFAM Transglycosylase SLT domain
k141_441088_2	Plays an important role in DNA replication, recombination and repair. Binds to ssDNA and to an array of partner proteins to recruit them to their sites of action during DNA metabolism
k141_441088_3	PFAM Major Facilitator Superfamily
k141_441088_4	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate
k141_441088_5	Belongs to the GppA Ppx family
k141_441088_7	Ribosomal protein L17
k141_441088_8	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
k141_441088_9	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit
k141_441088_10	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome
k141_441088_11	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits
k141_441088_13	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently
k141_441088_14	binds to the 23S rRNA
k141_441088_15	Ribosomal protein L30p/L7e
k141_441088_16	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body
k141_441088_17	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance
k141_441088_18	This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center
k141_441088_19	One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit
k141_441088_20	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site
k141_441088_21	This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits
k141_441088_22	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit
k141_441088_23	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome
k141_441088_24	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA
k141_441088_25	Belongs to the universal ribosomal protein uL29 family
k141_441088_26	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs
k141_441088_27	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation
k141_441088_28	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome
k141_441088_29	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA
k141_441088_30	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity
k141_441088_32	Forms part of the polypeptide exit tunnel
k141_441088_33	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit
k141_441088_34	Involved in the binding of tRNA to the ribosomes
k141_441088_35	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
k141_223427_2	Belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family
k141_4797_1	Putative transposase
k141_4797_2	Transposase IS4 family
k141_4797_3	Transposase IS4 family
k141_151854_5	Homeodomain-like domain
k141_369652_2	SPTR Transposase IS4 family
k141_223605_1	Belongs to the CDP-alcohol phosphatidyltransferase class-I family
k141_223605_2	Part of the MsrPQ system that repairs oxidized periplasmic proteins containing methionine sulfoxide residues (Met-O), using respiratory chain electrons. Thus protects these proteins from oxidative-stress damage caused by reactive species of oxygen and chlorine generated by the host defense mechanisms. MsrPQ is essential for the maintenance of envelope integrity under bleach stress, rescuing a wide series of structurally unrelated periplasmic proteins from methionine oxidation. The catalytic subunit MsrP is non-stereospecific, being able to reduce both (R-) and (S-) diastereoisomers of methionine sulfoxide
k141_223605_3	Part of the MsrPQ system that repairs oxidized periplasmic proteins containing methionine sulfoxide residues (Met-O), using respiratory chain electrons. Thus protects these proteins from oxidative-stress damage caused by reactive species of oxygen and chlorine generated by the host defense mechanisms. MsrPQ is essential for the maintenance of envelope integrity under bleach stress, rescuing a wide series of structurally unrelated periplasmic proteins from methionine oxidation. MsrQ provides electrons for reduction to the reductase catalytic subunit MsrP, using the quinone pool of the respiratory chain
k141_441355_6	TIGRFAM penicillin-binding protein, 1A
k141_441355_7	penicillin-binding protein
k141_441355_8	Diguanylate cyclase
k141_441355_9	High frequency lysogenization protein HflD homolog
k141_441355_13	esterase of the alpha-beta hydrolase superfamily
k141_441355_16	Protein of unknown function (DUF1298)
k141_441355_17	Activates fatty acids by binding to coenzyme A
k141_441355_22	Protein conserved in bacteria
k141_296160_5	Belongs to the peptidase S1C family
k141_296160_6	heat shock protein DnaJ
k141_296160_7	Peptidase M48
k141_296160_8	TIGRFAM Thioredoxin
k141_152207_1	ABC-type dipeptide oligopeptide nickel transport systems, permease components
k141_152207_2	Belongs to the ABC transporter superfamily
k141_369918_4	Transposase
k141_369918_6	Transposase
k141_369918_9	AAA domain
k141_441527_1	Transposase IS66 family
k141_441527_3	pfam abc
k141_441527_4	May be involved in recombination
k141_441527_7	Sel1-like repeats.
k141_441527_11	Putative S-adenosyl-L-methionine-dependent methyltransferase
k141_441527_12	KR domain
k141_441527_18	TraB family
k141_5143_1	helicase Cas3
k141_5143_2	PIN domain
k141_5143_3	Ribbon-helix-helix domain
k141_5154_1	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA
k141_5154_2	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome
k141_5154_3	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation
k141_5154_4	Ribosomal protein L16p/L10e
k141_223910_2	(ABC) transporter
k141_223910_3	Transport permease protein
k141_370053_2	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance
k141_370053_3	The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis
k141_78729_1	Peptidase family M3
k141_5290_12	-
k141_5290_13	ATPase family associated with various cellular activities (AAA)
k141_5290_14	Heat shock 70 kDa protein
k141_370179_1	Catalyzes the sequential condensation of isopentenyl diphosphate (IPP) with (2E,6E)-farnesyl diphosphate (E,E-FPP) to yield (2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-undecaprenyl diphosphate (di-trans,octa-cis-UPP). UPP is the precursor of glycosyl carrier lipid in the biosynthesis of bacterial cell wall polysaccharide components such as peptidoglycan and lipopolysaccharide
k141_296410_9	Isochorismatase family
k141_296410_12	TIGRFAM ATP-dependent DNA helicase, RecQ
k141_296410_20	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction
k141_370357_1	Transposase IS200 like
k141_370357_3	Tellurite resistance protein TehB
k141_370357_4	COGs COG1020 Non-ribosomal peptide synthetase modules and related protein
k141_370357_6	Helix-turn-helix XRE-family like proteins
k141_370357_7	Putative transposase
k141_370399_1	PFAM Reverse transcriptase (RNA-dependent DNA polymerase)
k141_152906_2	Restriction endonuclease EcoRV
k141_224445_2	Protein of unknown function DUF262
k141_224445_3	-
k141_153002_1	Protein of unknown function (DUF3014)
k141_442200_1	phosphate starvation-inducible protein PhoH
k141_442311_1	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis
k141_442311_2	Cytochrome C1 family
k141_442311_3	PFAM Glutathione S-transferase, N-terminal
k141_442311_4	Stringent starvation protein B
k141_442311_5	Protease subunit of a proteasome-like degradation complex believed to be a general protein degrading machinery
k141_442311_6	this subunit has chaperone activity. The binding of ATP and its subsequent hydrolysis by HslU are essential for unfolding of protein substrates subsequently hydrolyzed by HslV. HslU recognizes the N-terminal part of its protein substrates and unfolds these before they are guided to HslV for hydrolysis
k141_370813_2	Sucrose phosphate synthase, sucrose phosphatase-like
k141_370813_3	PfkB domain protein
k141_370813_8	Response regulator receiver
k141_370813_9	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
k141_370813_11	Transport permease protein
k141_370813_12	PFAM ABC transporter
k141_370813_13	Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines. Specifically modifies U20 and U20a in tRNAs
k141_370813_17	von Willebrand factor type A domain
k141_370813_18	PFAM Aminotransferase class-III
k141_370813_19	Acid phosphatase homologues
k141_370813_20	peptidase S16, lon
k141_370813_21	Flavin prenyltransferase that catalyzes the synthesis of the prenylated FMN cofactor (prenyl-FMN) for 4-hydroxy-3- polyprenylbenzoic acid decarboxylase UbiD. The prenyltransferase is metal-independent and links a dimethylallyl moiety from dimethylallyl monophosphate (DMAP) to the flavin N5 and C6 atoms of FMN
k141_370813_22	Reutilizes the intact tripeptide L-alanyl-gamma-D- glutamyl-meso-diaminopimelate by linking it to UDP-N- acetylmuramate
k141_370813_23	-
k141_370813_24	Exonuclease involved in the 3' processing of various precursor tRNAs. Initiates hydrolysis at the 3'-terminus of an RNA molecule and releases 5'-mononucleotides
k141_370813_25	Protein of unknown function (DUF2889)
k141_370813_30	ATPase that binds to both the 70S ribosome and the 50S ribosomal subunit in a nucleotide-independent manner
k141_370813_31	17 kDa outer membrane surface antigen
k141_370813_32	COG0577 ABC-type antimicrobial peptide transport system, permease component
k141_370813_33	MacB-like periplasmic core domain
k141_370813_34	PFAM ABC transporter
k141_370813_35	Barrel-sandwich domain of CusB or HlyD membrane-fusion
k141_370813_37	COG2931 RTX toxins and related Ca2 -binding proteins
k141_370907_1	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is the primary sigma factor during exponential growth
k141_370907_2	COG1218 3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase
k141_442777_2	Phenylacetic acid degradation operon negative regulatory protein
k141_442777_3	COG4638 Phenylpropionate dioxygenase and related ring-hydroxylating dioxygenases, large terminal subunit
k141_225232_1	esterase of the alpha-beta hydrolase superfamily
k141_225232_2	protease with the C-terminal PDZ domain
k141_225232_3	Protein of unknown function (DUF1244)
k141_225232_5	Acyltransferase family
k141_225232_10	transcriptional regulators
k141_153721_3	Arginyl-tRNA synthetase
k141_153721_4	Involved in the restart of stalled replication forks. Recognizes and binds the arrested nascent DNA chain at stalled replication forks. It can open the DNA duplex, via its helicase activity, and promote assembly of the primosome and loading of the major replicative helicase DnaB onto DNA
k141_153721_5	The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane
k141_153721_6	NADP transhydrogenase
k141_153721_7	The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane
k141_153721_8	PFAM HNH endonuclease
k141_153721_9	Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)
k141_153721_10	Bacterial transferase hexapeptide (six repeats)
k141_153721_11	Oligopeptidase A
k141_153721_12	Catalyzes the decarboxylation of 3-octaprenyl-4-hydroxy benzoate to 2-octaprenylphenol, an intermediate step in ubiquinone biosynthesis
k141_153721_13	VirC1 protein
k141_153796_1	COG4373 Mu-like prophage FluMu protein gp28
k141_153796_2	Mu-like prophage protein gp29
k141_6600_1	LysR substrate binding domain
k141_6600_3	PFAM Insertion element protein
k141_6600_5	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
k141_6600_7	Outer membrane efflux protein
k141_6600_8	Short C-terminal domain
k141_6600_9	heavy metal translocating P-type ATPase
k141_6600_14	Histidine kinase
k141_6600_15	COG2204 Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains
k141_6600_16	Adenylyl- / guanylyl cyclase, catalytic domain
k141_6600_18	Cytochrome c
k141_6600_19	-
k141_6600_20	Cytochrome c
k141_6600_21	Lipoxygenase
k141_6600_23	Alpha/beta hydrolase of unknown function (DUF900)
k141_6600_24	-
k141_6600_25	-
k141_6600_26	Belongs to the DnaA family. HdA subfamily
k141_154062_1	Hydrolyzes diadenosine 5',5'''-P1,P4-tetraphosphate to yield ADP
k141_154062_2	(Lipo)protein
k141_297763_1	Tetrahydrodipicolinate N-succinyltransferase N-terminal
k141_297763_2	COG0739 Membrane proteins related to metalloendopeptidases
k141_443496_1	Catalyzes the specific phosphorylation of 1,6-anhydro-N- acetylmuramic acid (anhMurNAc) with the simultaneous cleavage of the 1,6-anhydro ring, generating MurNAc-6-P. Is required for the utilization of anhMurNAc either imported from the medium or derived from its own cell wall murein, and thus plays a role in cell wall recycling
k141_7168_1	metal-dependent hydrolase of the TIM-barrel fold
k141_7168_2	KR domain
k141_7168_3	Rieske 2Fe-2S
k141_226147_2	Zinc transporter
k141_7320_3	Belongs to the 'phage' integrase family
k141_372145_1	Radical SAM
k141_372145_3	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage
k141_298193_2	Bifunctional enzyme which can phosphorylate or dephosphorylate isocitrate dehydrogenase (IDH) on a specific serine residue. This is a regulatory mechanism which enables bacteria to bypass the Krebs cycle via the glyoxylate shunt in response to the source of carbon. When bacteria are grown on glucose, IDH is fully active and unphosphorylated, but when grown on acetate or ethanol, the activity of IDH declines drastically concomitant with its phosphorylation
k141_298193_3	Belongs to the P(II) protein family
k141_298193_4	Transcription factor that acts by binding directly to the RNA polymerase (RNAP). Required for negative regulation of rRNA expression and positive regulation of several amino acid biosynthesis promoters. Also required for regulation of fis expression
k141_298193_7	the 2 termini fold to resemble tRNA(Ala) and it encodes a tag peptide , a short internal open reading frame. During trans-translation Ala- aminoacylated tmRNA acts like a tRNA, entering the A-site of stalled ribosomes, displacing the stalled mRNA. The ribosome then switches to translate the ORF on the tmRNA
k141_298252_9	Antidote-toxin recognition MazE, bacterial antitoxin
k141_298252_10	Toxic component of a toxin-antitoxin (TA) module. An RNase
k141_7494_1	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
k141_7494_2	Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit
k141_7494_3	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA
