isogroup122754_c0_g1	NLRP2 PAAD/DAPIN/Pyrin domain
isogroup71309_c1_g7	 Troponin T
isogroup71309_c1_g9	 Troponin T
isogroup66642_c0_g1	 Reverse transcriptase (RNA-dependent DNA polymerase)
isogroup33536_c0_g1	TMEM258 Transmembrane protein 258
isogroup52132_c0_g1	 Belongs to the peptidase M10A family
isogroup52132_c0_g2	 Belongs to the peptidase M10A family
isogroup66169_c0_g1	UBL3 Ubiquitin-2 like Rad60 SUMO-like
isogroup66179_c0_g1	CBP Calcium ion binding
isogroup66141_c4_g2	RpLP2 Structural constituent of ribosome. It is involved in the biological process described with translational elongation
isogroup66162_c0_g3	 Lipid transporter activity. It is involved in the biological process described with lipid transport
isogroup66162_c0_g7	 Lipid transporter activity. It is involved in the biological process described with lipid transport
isogroup66143_c0_g1	cib Actin binding. It is involved in the biological process described with cytoskeleton organization
isogroup66190_c7_g1	BEND2 BEN domain containing 2
isogroup66101_c6_g5	 Zinc-binding domain present in Lin-11, Isl-1, Mec-3.
isogroup66101_c6_g8	 Immunoglobulin V-set domain
isogroup73878_c1_g6	 Glycine N-methyltransferase-like
isogroup73890_c4_g3	Mmp1 Matrixin
isogroup73727_c6_g1	Ndufb10 NADH-ubiquinone oxidoreductase subunit 10
isogroup73706_c0_g1	 Methyltransferase-like protein
isogroup73709_c1_g2	 RNA binding domain
isogroup67352_c0_g2	CYP315A1 heme binding. It is involved in the biological process described with oxidation-reduction process
isogroup67352_c1_g3	 Four-disulfide core domains
isogroup67352_c1_g13	 WAP four-disulfide core domain
isogroup67354_c0_g1	 FAR-17a/AIG1-like protein
isogroup67335_c14_g1	 Elongation factor 1 gamma, conserved domain
isogroup74897_c1_g1	CDAN1 Codanin-1 C-terminus
isogroup74816_c4_g1	 regulation of ligase activity
isogroup74820_c1_g9	 Transposase IS4
isogroup74814_c0_g1	 Beta/gamma crystallins
isogroup74814_c0_g2	AIM1 Ricin-type beta-trefoil
isogroup68165_c0_g1	SIVA1 CD27 receptor binding
isogroup68199_c8_g7	spz Spaetzle
isogroup68131_c5_g1	 Si dkey-14d8.7
isogroup68143_c3_g1	CDKN3 protein tyrosine/serine/threonine phosphatase activity
isogroup75604_c2_g1	ASH2L euchromatin binding
isogroup75607_c14_g1	NBR1 brca1 gene 1
isogroup75675_c1_g1	RPAP2 RNA polymerase II associated protein 2
isogroup75675_c1_g2	 Si dkey-12j5.1
isogroup72180_c5_g1	 alpha/beta hydrolase fold
isogroup72142_c0_g1	Gbp5 Guanylate-binding protein, N-terminal domain
isogroup72142_c0_g3	Gbp5 Guanylate-binding protein, N-terminal domain
isogroup72130_c1_g1	TMEM209 Transmembrane protein 209
isogroup72115_c2_g1	AMBRA1 Activating molecule in BECN1-regulated autophagy protein
isogroup72102_c2_g1	zmp-3 Zinc-dependent metalloprotease
isogroup36665_c0_g2	JAZF1 zinc finger
isogroup25944_c0_g1	 DEK C terminal domain
isogroup56170_c0_g4	 Repeat of unknown function (DUF1136)
isogroup56107_c0_g1	 Insect cuticle protein
isogroup56169_c0_g1	SYCP3 spermatogenesis, exchange of chromosomal proteins
isogroup56147_c0_g3	APLP2 Amyloid beta (A4)
isogroup56147_c0_g4	APLP2 Amyloid beta (A4)
isogroup35347_c0_g1	NACA negative regulation of transcription from RNA polymerase II promoter involved in heart development
isogroup69930_c0_g1	TMEM201 Transmembrane protein 201
isogroup69932_c1_g1	EAPP E2F-associated phosphoprotein
isogroup69925_c2_g1	GORAB positive regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning
isogroup69977_c3_g1	 C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
isogroup69934_c0_g1	TLL1 metalloendopeptidase activity
isogroup69908_c0_g1	IMPACT Impact RWD domain protein
isogroup2438_c0_g1	NECAB1 calcium ion binding
isogroup77322_c0_g1	DHX9 ATP-dependent 3'-5' DNA/RNA helicase activity
isogroup77392_c0_g1	 Sortilin-related VPS10 domain containing receptor 1
isogroup77359_c1_g1	 mRNA, complete cds
isogroup77382_c2_g2	PTGER4 Prostaglandin E2 receptor EP4 subtype
isogroup71218_c3_g2	HMCN1 Hemicentin-1
isogroup71231_c2_g2	 Epidermal differentiation-specific protein-like
isogroup71231_c2_g1	CRYGD structural constituent of eye lens
isogroup71253_c0_g3	C1orf74 Domain of unknown function (DUF4504)
isogroup71279_c2_g1	KCP Kielin chordin-like protein
isogroup71286_c3_g1	crebzf basic region leucin zipper
isogroup71201_c3_g1	Sergef Ran guanyl-nucleotide exchange factor activity
isogroup76248_c0_g1	JMY 'de novo' actin filament nucleation
isogroup76292_c0_g1	PAN2 Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex, one of two cytoplasmic mRNA deadenylases involved in general and miRNA-mediated mRNA turnover. PAN specifically shortens poly(A) tails of RNA and the activity is stimulated by poly(A)-binding protein (PABP). PAN deadenylation is followed by rapid degradation of the shortened mRNA tails by the CCR4-NOT complex. Deadenylated mRNAs are then degraded by two alternative mechanisms, namely exosome-mediated 3'-5' exonucleolytic degradation, or deadenlyation-dependent mRNA decaping and subsequent 5'-3' exonucleolytic degradation by XRN1
isogroup76216_c5_g1	mod(mdg4) Broad-Complex, Tramtrack and Bric a brac
isogroup76202_c3_g2	EXOC3 exocyst localization
isogroup76291_c5_g1	 Si dkey-14d8.7
isogroup76223_c4_g3	rps-0 Required for the assembly and or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits
isogroup76223_c4_g1	DESI2 Lys63-specific deubiquitinase activity
isogroup79433_c8_g1	RpL36 Belongs to the eukaryotic ribosomal protein eL36 family
isogroup66943_c0_g1	LRRC61 Leucine rich repeat containing 61
isogroup66990_c3_g3	 cobalamin catabolic process
isogroup66936_c7_g1	NEIL1 Nei endonuclease VIII-like 1 (E. coli)
isogroup66770_c0_g1	FAM132A regulation of glucose import
isogroup66745_c1_g1	 Bladder cancer-associated
isogroup78212_c1_g2	STPG2 Sperm-tail PG-rich
isogroup78217_c0_g3	tna Zinc ion binding
isogroup58496_c0_g1	CRIP2 metal ion binding
isogroup58450_c1_g1	 Belongs to the beta gamma-crystallin family
isogroup58476_c0_g1	GHDC GH3 domain containing
isogroup36165_c0_g1	maf-S bZIP Maf transcription factor
isogroup69207_c0_g1	SLC35E3 solute carrier family 35 member
isogroup69299_c2_g2	 Central component in molecular interactions underlying sperm crawling. Forms an extensive filament system that extends from sperm villipoda, along the leading edge of the pseudopod
isogroup69299_c2_g4	 Central component in molecular interactions underlying sperm crawling. Forms an extensive filament system that extends from sperm villipoda, along the leading edge of the pseudopod
isogroup69256_c0_g1	 peptidase inhibitor activity
isogroup69258_c0_g1	SGCZ Sarcoglycan, zeta
isogroup69206_c0_g1	SURF2 Surfeit locus protein 2
isogroup77681_c0_g1	SERPINB6 Belongs to the serpin family
isogroup77681_c0_g4	SERPINB1 Leukocyte elastase
isogroup77604_c8_g3	GOSR1 Involved in transport from the ER to the Golgi apparatus as well as in intra-Golgi transport. It belongs to a super-family of proteins called t-SNAREs or soluble NSF (N-ethylmaleimide- sensitive factor) attachment protein receptor
isogroup77660_c7_g1	GPN2 GTPase activity
isogroup77647_c2_g1	SLC35B3 3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity
isogroup48785_c0_g1	UGP UTP glucose-1-phosphate uridylyltransferase activity. It is involved in the biological process described with UDP-glucose metabolic process
isogroup48791_c0_g1	CLEC19A C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
isogroup28341_c0_g1	 Binds the poly(A) tail of mRNA
isogroup47238_c0_g1	 Belongs to the complex I LYR family
isogroup54064_c0_g4	vit-5 Precursor of the egg-yolk proteins that are sources of nutrients during embryonic development
isogroup54064_c0_g6	 DUF1943
isogroup54062_c0_g1	sft-4 Surfeit locus protein
isogroup54048_c0_g1	 positive regulation of hyaluranon cable assembly
isogroup79019_c3_g1	 A-macroglobulin receptor
isogroup40787_c0_g2	Vg Lipoprotein amino terminal region
isogroup48588_c0_g2	POU4F2 POU domain, class 4, transcription factor
isogroup48573_c0_g1	MDM4 G0 to G1 transition
isogroup66270_c0_g2	C9orf85 Uncharacterized conserved protein (DUF2039)
isogroup66279_c1_g2	 genomic stop codons
isogroup66214_c0_g6	 CUB and zona pellucida-like domain-containing protein
isogroup66218_c3_g4	COLEC11 Collectin subfamily member 11
isogroup71555_c0_g1	FBXO18 response to intra-S DNA damage checkpoint signaling
isogroup71595_c0_g1	 NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
isogroup71595_c0_g2	 NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
isogroup71525_c1_g1	sym-2 epithelial splicing regulatory protein
isogroup60529_c0_g2	 RNA binding
isogroup60529_c0_g5	 RNA binding
isogroup60565_c0_g1	cln3 CLN3 protein
isogroup60583_c0_g1	 cytoskeletal anchoring at plasma membrane
isogroup77092_c0_g1	FAM13A Family with sequence similarity 13 member A
isogroup77022_c1_g2	 It is involved in the biological process described with protein complex assembly
isogroup77006_c0_g1	PAN3 Regulatory subunit of the poly(A)-nuclease (PAN) deadenylation complex, one of two cytoplasmic mRNA deadenylases involved in general and miRNA-mediated mRNA turnover. PAN specifically shortens poly(A) tails of RNA and the activity is stimulated by poly(A)-binding protein (PABP). PAN deadenylation is followed by rapid degradation of the shortened mRNA tails by the CCR4-NOT complex. Deadenylated mRNAs are then degraded by two alternative mechanisms, namely exosome-mediated 3'-5' exonucleolytic degradation, or deadenlyation-dependent mRNA decaping and subsequent 5'-3' exonucleolytic degradation by XRN1. PAN3 acts as a positive regulator for PAN activity, recruiting the catalytic subunit PAN2 to mRNA via its interaction with RNA and PABP, and to miRNA targets via its interaction with GW182 family proteins
isogroup77001_c0_g1	FAM214A Family with sequence similarity 214, member A
isogroup38939_c0_g1	 Cytochrome c oxidase subunit VIc
isogroup65313_c0_g3	NACA negative regulation of transcription from RNA polymerase II promoter involved in heart development
isogroup65313_c0_g1	NACA negative regulation of transcription from RNA polymerase II promoter involved in heart development
isogroup65325_c0_g2	WDR76 regulation of DNA damage checkpoint
isogroup65342_c1_g1	 Angiotensin-converting enzyme
isogroup65342_c2_g3	 Immunoglobulin C-2 Type
isogroup95117_c0_g1	MAN2A1 Mannosidase, alpha, class 2A, member 1
isogroup95132_c0_g1	SCYL3 Protein-associating with the carboxyl-terminal domain of ezrin
isogroup95146_c0_g1	znf706 Zinc finger protein
isogroup78375_c1_g2	ANKH ANKH inorganic pyrophosphate transport regulator
isogroup78362_c1_g5	ATRNL1 Attractin-like
isogroup78382_c0_g1	 Belongs to the neuropilin family
isogroup78364_c0_g1	Jheh2 juvenile hormone
isogroup68327_c3_g4	C19orf40 DNA repair
isogroup68339_c0_g1	SURF4 Golgi organization
isogroup68309_c4_g1	PFDN4 unfolded protein binding
isogroup68358_c3_g1	 Uncharacterized conserved protein (DUF2039)
isogroup68312_c5_g1	H1FOO nucleosome positioning
isogroup68368_c12_g1	XPO7 nuclear export signal receptor activity
isogroup28999_c0_g1	 Catalytic LigB subunit of aromatic ring-opening dioxygenase
isogroup75291_c1_g1	FBXO18 DNA translocase activity
isogroup75221_c1_g1	POLR3GL DNA-directed RNA polymerase III subunit RPC7-like
isogroup75298_c1_g1	NBAS sequence
isogroup53239_c0_g3	 regulation of muscle system process
isogroup57314_c0_g3	 macromolecule localization
isogroup57360_c1_g1	CLEC19A mannose binding
isogroup61686_c0_g1	 Acetylcholine-activated cation-selective channel activity. It is involved in the biological process described with ion transport
isogroup71895_c0_g1	FJX1 Four jointed box 1 (Drosophila)
isogroup71807_c2_g1	ALKBH6 ferrous iron binding
isogroup71805_c0_g2	FAM83F Family with sequence similarity 83, member F
isogroup71805_c0_g1	FAM83F Family with sequence similarity 83, member F
isogroup71832_c2_g4	sog Short gastrulation Source FlyBase
isogroup71832_c2_g6	sog Short gastrulation Source FlyBase
isogroup62547_c0_g1	ATP6V1G1 proton-exporting ATPase activity, phosphorylative mechanism
isogroup62577_c0_g2	AKR7L aldo-keto reductase (NADP) activity
isogroup62588_c0_g1	 Ornithine decarboxylase antizyme
isogroup32589_c0_g1	NCF4 PB1 domain
isogroup55119_c0_g2	 Leucine rich repeat C-terminal domain
isogroup55150_c0_g1	CYP15A1 Cytochrome P450
isogroup55165_c0_g4	Dg Dystroglycan (Dystrophin-associated glycoprotein 1)
isogroup55165_c0_g6	Dg Dystroglycan (Dystrophin-associated glycoprotein 1)
isogroup55493_c0_g1	mRpL53 ribosomal protein, L53
isogroup71150_c0_g2	DMTF1 RNA polymerase II transcription regulator recruiting activity
isogroup71162_c0_g1	 nuclear inner membrane organization
isogroup71134_c0_g1	CENPL centromere protein L
isogroup51854_c0_g2	MED14 Mediator complex subunit MED14
isogroup60031_c0_g1	LGMN cysteine-type peptidase activity
isogroup60079_c0_g2	CLEC17A C-type lectin domain family 17 member A
isogroup2284_c0_g1	ATPAF1 mitochondrial proton-transporting ATP synthase complex assembly
isogroup87407_c0_g1	FUT8 glycoprotein 6-alpha-L-fucosyltransferase activity
isogroup45704_c0_g4	 Nuclear receptor coactivator 7
isogroup45717_c0_g1	CPNE9 Copine family member IX
isogroup75480_c0_g2	 Catalytic LigB subunit of aromatic ring-opening dioxygenase
isogroup75426_c3_g1	CYGB fatty acid peroxidase activity
isogroup75479_c0_g1	KIAA1524 Protein CIP2A homolog
isogroup75484_c0_g1	SLX4 structure-specific endonuclease subunit
isogroup23161_c0_g1	HMG20A high mobility group
isogroup23148_c0_g1	NRXN3 Neurexin
isogroup58757_c0_g1	Vg nutrient reservoir activity
isogroup58757_c0_g2	Vg nutrient reservoir activity
isogroup58765_c0_g1	 Converts proline to delta-1-pyrroline-5-carboxylate
isogroup70379_c5_g1	CRISPLD2 Cysteine-rich secretory protein LCCL domain-containing 2
isogroup70384_c6_g4	NUCB2 positive regulation of testosterone secretion
isogroup70384_c6_g5	NUCB2 positive regulation of testosterone secretion
isogroup70384_c7_g8	 Belongs to the peptidase M10A family
isogroup70384_c7_g12	 Belongs to the peptidase M10A family
isogroup70397_c0_g1	 peptidase inhibitor activity
isogroup70341_c0_g1	PRIMPOL DNA primase activity
isogroup70373_c4_g1	 Single-pass membrane protein with aspartate-rich tail 1
isogroup70372_c0_g2	 A-macroglobulin receptor
isogroup70372_c0_g3	 A-macroglobulin receptor
isogroup64228_c0_g1	REG1B Regenerating islet-derived 1
isogroup64206_c0_g1	EPDR1 cell-matrix adhesion
isogroup64259_c0_g2	DLEC1 negative regulation of cell proliferation
isogroup64273_c1_g2	Nep2 metalloendopeptidase activity. It is involved in the biological process described with proteolysis
isogroup96532_c0_g1	AKR7A2 Aldo/keto reductase family
isogroup96559_c0_g1	 collagen
isogroup10809_c0_g1	LMO4 spinal cord association neuron differentiation
isogroup9148_c0_g1	 Insect cuticle protein
isogroup68485_c0_g1	ATP5O proton-transporting ATP synthase activity, rotational mechanism
isogroup68404_c2_g2	ARMC2 Armadillo repeat containing 2
isogroup68411_c2_g1	FAM204A Family with sequence similarity 204, member A
isogroup61927_c0_g1	 hyaluronic acid binding
isogroup61968_c0_g3	Hml chitin binding. It is involved in the biological process described with chitin metabolic process
isogroup61968_c0_g6	Hml C-terminal cystine knot-like domain (CTCK)
isogroup61968_c0_g7	Hml chitin binding. It is involved in the biological process described with chitin metabolic process
isogroup61995_c0_g1	 Lactose-binding lectin l-2-like
isogroup71954_c2_g1	TRAPPC13 trafficking protein particle complex
isogroup71964_c6_g2	XYLB xylulokinase activity
isogroup71951_c0_g1	 tyrosinase
isogroup71953_c0_g1	Aats-ser tRNA synthetase class II core domain (G, H, P, S and T)
isogroup71926_c2_g1	OXNAD1 oxidoreductase activity
isogroup43089_c0_g1	 cysteine-type peptidase activity
isogroup62424_c1_g3	 Galactose binding lectin domain
isogroup74962_c2_g1	CDC45 mitotic DNA replication preinitiation complex assembly
isogroup74941_c3_g1	NOC2L domain, Protein
isogroup74948_c4_g2	 mannose binding
isogroup74948_c4_g5	 C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
isogroup74955_c1_g1	BBS12 chaperone-mediated protein complex assembly
isogroup74950_c0_g1	C19orf66 UPF0515 protein C19orf66 homolog
isogroup74936_c0_g1	 Sugar (and other) transporter
isogroup73431_c1_g1	IDUA Iduronidase, alpha-L
isogroup73498_c0_g1	INTS7 Integrator complex subunit 7
isogroup73425_c0_g1	TCAIM activation inhibitor, mitochondrial
isogroup73416_c1_g4	PDPR [pyruvate dehydrogenase (lipoamide)] phosphatase activity
isogroup73442_c0_g1	SUV420H1 SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
isogroup70924_c3_g2	DCAF4 DDB1 and CUL4 associated factor 4 like 2
isogroup70901_c3_g2	HDDC2 HD domain
isogroup70981_c10_g1	TMEM220 Transmembrane protein 220
isogroup70986_c0_g1	DHX16 Helicase associated domain (HA2)  Add an annotation
isogroup70946_c1_g2	FUS retinoid X receptor binding
isogroup65042_c0_g1	TTLL4 protein polyglutamylation
isogroup65075_c3_g1	 TIR domain
isogroup65048_c0_g1	 Belongs to the phosphoglycerate mutase family. BPG- dependent PGAM subfamily
isogroup46645_c0_g1	 endopeptidase inhibitor activity
isogroup46691_c0_g1	 ADP-ribosylglycohydrolase
isogroup46637_c0_g1	 Src homology 3 domains
isogroup48804_c0_g2	REG4 regenerating islet-derived
isogroup48801_c0_g3	 Signal recognition particle
isogroup61081_c0_g2	 It is involved in the biological process described with signal transduction
isogroup57904_c0_g1	RPL36 ribosomal protein
isogroup74045_c0_g2	C11orf65 Chromosome 11 open reading frame 65
isogroup74028_c0_g1	 ER to Golgi vesicle-mediated transport
isogroup74088_c5_g7	 Methyltransferase domain
isogroup74075_c1_g1	HDAC8 histone deacetylase
isogroup74051_c2_g1	GLTSCR2 regulation of protein K63-linked deubiquitination
isogroup61406_c0_g2	TPSG1 Trypsin-like serine protease
isogroup61479_c0_g2	 Carboxypeptidase
isogroup61419_c0_g2	Amy-p activity. It is involved in the biological process described with carbohydrate metabolic process
isogroup39485_c0_g1	 C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
isogroup53770_c0_g1	 C2H2 zinc finger domain binding
isogroup53777_c0_g2	Cpap3-d1 chitin binding. It is involved in the biological process described with chitin metabolic process
isogroup50156_c0_g1	 aminophospholipid transmembrane transporter activity
isogroup59147_c0_g4	HYOU1 negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway
isogroup59151_c0_g1	 Zinc-binding domain present in Lin-11, Isl-1, Mec-3.
isogroup59196_c0_g3	 Nucleoporin
isogroup56976_c0_g2	wupA Troponin
isogroup72864_c2_g1	 Peptidase C13 family
isogroup72857_c0_g2	 cobalamin transport
isogroup72881_c0_g1	MAP3K10 JUN kinase kinase kinase activity
isogroup72873_c1_g1	SGCA response to muscle inactivity involved in regulation of muscle adaptation
isogroup72856_c1_g1	CLN8 glutamate reuptake
isogroup72844_c3_g1	GDAP2 Ganglioside induced differentiation associated protein 2
isogroup72889_c1_g1	CCHCR1 cell differentiation
isogroup72815_c2_g1	LRRC43 Leucine-rich repeat-containing protein 43
isogroup47984_c0_g2	Ndufa10 Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
isogroup50232_c0_g2	LARP6 La ribonucleoprotein domain family member 6
isogroup50208_c0_g1	dpy-31 metalloendopeptidase activity
isogroup80425_c0_g1	 Dermatopontin
isogroup67426_c0_g1	PTCD1 Pentatricopeptide repeat-containing protein 1, mitochondrial
isogroup67498_c0_g1	TMEM216 Transmembrane protein 216
isogroup67477_c1_g2	CLN3 Ceroid-lipofuscinosis, neuronal 3
isogroup67406_c0_g1	FBXO3 SMI1 / KNR4 family (SUKH-1)
isogroup63030_c1_g2	 SERine  Proteinase INhibitors
isogroup63086_c0_g4	 RNA recognition motif
isogroup63007_c0_g2	wupA Troponin
isogroup68602_c0_g2	FASN 3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity
isogroup68682_c1_g1	ENTPD4 Ectonucleoside triphosphate diphosphohydrolase 4
isogroup68632_c2_g1	SWT1 nucleic acid-templated transcription
isogroup68625_c1_g1	 C-terminal to LisH motif.
isogroup68678_c0_g5	POMK protein-O-mannose kinase
isogroup50525_c0_g1	 Trypsin-like serine protease
isogroup13716_c0_g1	 Domain present in fly proteins (CG14681, CG12492, CG6217), worm H06A10.1 and Arabidopsis thaliana MBG8.9.
isogroup7589_c0_g1	 Repeat of unknown function (DUF1220)
isogroup38546_c0_g1	Amyrel activity. It is involved in the biological process described with carbohydrate metabolic process
isogroup58595_c0_g2	 Belongs to the small heat shock protein (HSP20) family
isogroup14920_c0_g2	 Belongs to the ligand-gated ion channel (TC 1.A.9) family
isogroup41913_c1_g2	 Nematode cuticle collagen N-terminal domain
isogroup41928_c0_g1	slc9a3r1 protein-containing complex scaffold activity
isogroup70262_c1_g1	TCHP negative regulation of cilium assembly
isogroup70274_c0_g1	PEX14 protein import into peroxisome matrix, substrate release
isogroup70295_c6_g1	THUMPD3 THUMP domain containing 3
isogroup70259_c2_g3	 Midnolin
isogroup70259_c3_g8	stau Staufen C-terminal domain
isogroup70259_c3_g9	stau Staufen C-terminal domain
isogroup59834_c0_g2	GALC galactosylceramide catabolic process
isogroup59857_c0_g3	PROC Protein C (inactivator of coagulation factors Va and VIIIa)
isogroup59829_c0_g2	Lam Belongs to the intermediate filament family
isogroup59802_c0_g2	Inx2 Structural component of the gap junctions
isogroup36449_c0_g1	PTCHD2 positive regulation of neural precursor cell proliferation
isogroup27476_c0_g1	myo-5 Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
isogroup77449_c1_g1	SLC25A12 Solute carrier family 25 (mitochondrial carrier, Aralar), member 12
isogroup77498_c1_g1	PLD1 phospholipase
isogroup77405_c1_g1	 Troponin
isogroup77405_c1_g3	 Troponin T
isogroup77479_c0_g1	 Ras association (RalGDS/AF-6) domain
isogroup75709_c5_g1	 positive regulation of hyaluranon cable assembly
isogroup75751_c0_g1	C1orf27 Protein odr-4 homolog
isogroup75794_c2_g1	GBP5 Guanylate-binding protein, C-terminal domain
isogroup48661_c0_g1	 Secreted protein acidic and rich in cysteine Ca binding region
